player_name,organization,position,age,fv,fb_grade,sl_grade,cb_grade,ch_grade,cmd_grade,import_date,fg_name,mlb_name,mlb_player_id,similarity,mlb_ops,mlb_avg,total_hr,total_sb,mlb_games,mlb_seasons
Aidan Miller,PHI,SS,21.325,55,,,,,,2025-10-09 12:29:09.376297,Aidan Miller,Brad Miller,543543,0.8333333333333333,0.77101023890784982935,0.24649146757679180887,35,8,296,4
Andrew Moore,SDP,SIRP,26.1527777,40,,,,,,2025-10-09 12:29:09.376297,Andrew Moore,Dylan Moore,664238,0.8090909090909091,0.72156423611111111111,0.20989806678383128295,54,107,576,6
Angel Guzman,SFG,LF,19.8916666,35,,,,,,2025-10-09 12:29:09.376297,Angel Guzman,Ronald Guzman,608597,0.8090909090909091,0.86938709677419354839,0.28345161290322580645,5,1,36,3
Aroon Escobar,PHI,2B,20.7638888,45,,,,,,2025-10-09 12:29:09.376297,Aroon Escobar,Eduardo Escobar,500871,0.85,0.68617209302325581395,0.22339069767441860465,58,4,435,4
Ayden Johnson,ATH,3B,17.6472222,40,,,,,,2025-10-09 12:29:09.376297,Ayden Johnson,Daniel Johnson,669288,0.8090909090909091,0.55382258064516129032,0.19623333333333333333,5,3,67,4
Cade McGee,STL,3B,22.7333333,40,,,,,,2025-10-09 12:29:09.376297,Cade McGee,Jake McGee,459429,0.85,,,0,0,55,1
Chase Davis,STL,CF,23.8361111,40,,,,,,2025-10-09 12:29:09.376297,Chase Davis,Khris Davis,501981,0.82,0.64866666666666666667,0.21766666666666666667,3,0,42,1
Chase Shores,LAA,SIRP,21.375,40,,,,,,2025-10-09 12:29:09.376297,Chase Shores,Chasen Shreve,592741,0.8,,,0,0,56,2
Christian Cairo,CLE,SS,24.3194444,40,,,,,,2025-10-09 12:29:09.376297,Christian Cairo,Christian Arroyo,624414,0.8387096774193549,0.66081447963800904977,0.24643438914027149321,18,7,225,4
Cole Miller,ATH,SP,20.4277777,40,,,,,,2025-10-09 12:29:09.376297,Cole Miller,Owen Miller,680911,0.85,0.68807973421926910299,0.25669230769230769231,15,18,303,5
Connor Cooke,TOR,SIRP,25.9277777,40,,,,,,2025-10-09 12:29:09.376297,Connor Cooke,Connor Joe,656582,0.8181818181818182,0.77772043010752688172,0.26383153347732181425,35,13,472,5
