mlb_player_id,name,fv,has_2025_milb,has_2025_mlb,is_graduate
,Jesús Made,65,0,0,0
,Konnor Griffin,65,0,0,0
,Kevin McGonigle,60,0,0,0
,Sebastian Walcott,60,0,0,0
,Max Clark,60,0,0,0
696149,Bubba Chandler,60,0,0,0
,JJ Wetherholt,55,0,0,0
,Liam Doyle,55,0,0,0
690997,Nolan McLean,55,0,0,0
,Leo De Vries,55,0,0,0
,Josue De Paula,55,0,0,0
,George Lombard Jr.,55,0,0,0
,Alfredo Duno,55,0,0,0
,Colt Emerson,55,0,0,0
,Aidan Miller,55,0,0,0
,Franklin Arias,50,0,0,0
,Jonny Farmelo,50,0,0,0
,Cooper Ingle,50,0,0,0
,Joe Mack,50,0,0,0
687931,Carson Whisenhunt,50,0,0,0
,Chase DeLauter,50,0,0,0
,Carson Benge,50,0,0,0
695534,Chase Petty,50,0,0,0
,Jett Williams,50,0,0,0
689981,River Ryan,50,0,0,0
,Jefferson Rojas,50,0,0,0
,Thayron Liranzo,50,0,0,0
,Jeferson Quero,50,0,0,0
,Braden Montgomery,50,0,0,0
,Michael Arroyo,50,0,0,0
,Zyhir Hope,50,0,0,0
701656,Logan Henderson,50,0,0,0
,Arjun Nimmala,50,0,0,0
691181,Emmanuel Rodriguez,50,0,0,0
,Angel Genao,50,0,0,0
,Jacob Reimer,50,0,0,0
691620,Jeferson Quero,50,0,0,0
,Walker Jenkins,50,0,0,0
814005,Jake Bloss,50,0,0,0
,Luis Peña,50,0,0,0
806956,Ethan Salas,50,0,0,0
703197,Michael Arroyo,50,0,0,0
,Tre' Morgan,50,0,0,0
694357,Ricky Tiedemann,50,0,0,0
,Travis Bazzana,50,0,0,0
800050,Chase DeLauter,50,0,0,0
,Cooper Pratt,50,0,0,0
,Felnin Celesten,50,0,0,0
,Ethan Salas,50,0,0,0
,Leonardo Bernal,50,0,0,0
,Emmanuel Rodriguez,50,0,0,0
687075,Brandon Sproat,50,0,0,0
,Edward Florentino,50,0,0,0
623454,Drew Anderson,50,0,0,0
,Eduardo Quintero,50,0,0,0
,Ryan Waldschmidt,50,0,0,0
695076,Rhett Lowder,50,0,0,0
,Josue Briceño,50,0,0,0
,Josuar De Jesus Gonzalez,50,0,0,0
,Rainiel Rodriguez,50,0,0,0
,Walker Janek,45,0,0,0
694918,Blade Tidwell,45,0,0,0
697812,Joe Rock,45,0,0,0
669361,Brandon Birdsell,45,0,0,0
,Termarr Johnson,45,0,0,0
,Tanner Schobel,45,0,0,0
,Tai Peete,45,0,0,0
669735,Chris Rodriguez,45,0,0,0
,Sterlin Thompson,45,0,0,0
,Starlyn Caba,45,0,0,0
,Spencer Jones,45,0,0,0
,Seaver King,45,0,0,0
,Ryan Clifford,45,0,0,0
,Roc Riggio,45,0,0,0
,Ralphy Velazquez,45,0,0,0
,Nelson Rada,45,0,0,0
,Nathan Martorella,45,0,0,0
,Mikey Romero,45,0,0,0
,Mike Sirota,45,0,0,0
676917,Cade Cavalli,45,0,0,0
,Malcolm Moore,45,0,0,0
,Luke Dickerson,45,0,0,0
,Luis Lara,45,0,0,0
,Lazaro Montes,45,0,0,0
679883,Luinder Avila,45,0,0,0
680684,Gunnar Hoglund,45,0,0,0
,Kevin Alvarez,45,0,0,0
,Kahlil Watson,45,0,0,0
,Kaelen Culpepper,45,0,0,0
,Justin Crawford,45,0,0,0
,Juan Brito,45,0,0,0
,Yorger Bautista,45,0,0,0
,Yolfran Castillo,45,0,0,0
682621,Gabriel Rodriguez,45,0,0,0
,Jhonny Level,45,0,0,0
682877,Juan Brito,45,0,0,0
682957,Jhonnys Cabrera,45,0,0,0
,Yoeilin Cespedes,45,0,0,0
,Jansel Luis,45,0,0,0
,James Triantos,45,0,0,0
,James Tibbs III,45,0,0,0
,Jaison Chourio,45,0,0,0
,Griff O'Ferrall,45,0,0,0
,Gino Groover,45,0,0,0
,Gabriel Rodriguez,45,0,0,0
,Gabriel Gonzalez,45,0,0,0
,Enrique Bradfield Jr.,45,0,0,0
,Emil Morales,45,0,0,0
,Elvin Garcia,45,0,0,0
686790,Trevor McDonald,45,0,0,0
,Elian Peña,45,0,0,0
686930,Mason Barnett,45,0,0,0
,Edwin Arroyo,45,0,0,0
687223,Carson Palmquist,45,0,0,0
,Eduardo Tait,45,0,0,0
,Dorian Soto,45,0,0,0
,Dominic Keegan,45,0,0,0
,Diego Tornes,45,0,0,0
,Devin Fitz-Gerald,45,0,0,0
,Demetrio Crisantes,45,0,0,0
,Cristopher Polanco,45,0,0,0
,Yairo Padilla,45,0,0,0
,Cris Rodriguez,45,0,0,0
,Cooper Kinney,45,0,0,0
,Christian Franklin,45,0,0,0
688107,Robert Gasser,45,0,0,0
,Xavier Isaac,45,0,0,0
,Charlie Condon,45,0,0,0
,Cam Collier,45,0,0,0
,Caleb Bonemer,45,0,0,0
,Bryce Rainer,45,0,0,0
,Braylon Payne,45,0,0,0
,Wyatt Sanford,45,0,0,0
,Brayden Taylor,45,0,0,0
,Brailer Guerrero,45,0,0,0
,Blake Mitchell,45,0,0,0
,Welbyn Francisca,45,0,0,0
,Asbel Gonzalez,45,0,0,0
,Aroon Escobar,45,0,0,0
,Andrew Salas,45,0,0,0
,A.J. Ewing,45,0,0,0
691441,Cristian Mena,45,0,0,0
,Vance Honeycutt,45,0,0,0
691948,Jordan Thompson,45,0,0,0
691951,Sam Aldegheri,45,0,0,0
802419,Thomas Harrington,45,0,0,0
800060,Xavier Isaac,45,0,0,0
702679,Demetrio Crisantes,45,0,0,0
694397,Marco Raya,45,0,0,0
,Tommy Troy,45,0,0,0
694462,Hurston Waldrep,45,0,0,0
,Theo Gillen,45,0,0,0
