target,model,r2,mae,mse
mlb_wrc_plus,Ridge,0.26139810862486357,16.018941771559764,765.9128028939555
mlb_wrc_plus,Random Forest,0.3091653753063547,14.261197262459024,716.3792699612296
mlb_wrc_plus,Gradient Boosting,0.1392987480570923,15.348271182501659,892.5269702499444
mlb_woba,Ridge,0.22257018975119658,0.046360499036343226,0.00715650190638406
mlb_woba,Random Forest,0.28171308759823166,0.04134602718988823,0.006612071713958163
mlb_woba,Gradient Boosting,0.1733226685712853,0.042915696401883585,0.007609841840822556
mlb_avg_ops,Ridge,0.23152436777850616,0.10616347858443587,0.03929510782554974
mlb_avg_ops,Random Forest,0.2370831781590913,0.0965480674162474,0.039010864520846074
mlb_avg_ops,Gradient Boosting,0.20286256943528103,0.09646023559021016,0.04076069555422684
mlb_avg_obp,Ridge,0.25355373406692683,0.048204687320584874,0.007700651359600829
mlb_avg_obp,Random Forest,0.31125241618769817,0.04299127250952248,0.0071054076626347945
mlb_avg_obp,Gradient Boosting,0.25176640419329643,0.04293978999083822,0.007719090200880612
mlb_avg_slg,Ridge,0.20811806558464263,0.05816193685761376,0.012560931112300782
mlb_avg_slg,Random Forest,0.19991124598031895,0.05261096159804421,0.012691108719871912
mlb_avg_slg,Gradient Boosting,0.14923374260550537,0.053683679281374026,0.013494961669623051
mlb_iso,Ridge,0.17348971062437135,0.02275984758717718,0.0022123252441397104
mlb_iso,Random Forest,0.10811489821948206,0.020790991165673827,0.0023873144120585914
mlb_iso,Gradient Boosting,0.051888601787583366,0.021111456987017288,0.002537815690239581
mlb_bb_rate,Ridge,0.25513447494681296,0.013663096600610714,0.0005979012825407706
mlb_bb_rate,Random Forest,0.2663200974750435,0.01228985471793504,0.0005889226174922461
mlb_bb_rate,Gradient Boosting,0.22118120297298494,0.012213119684363944,0.000625155470279098
mlb_so_rate,Ridge,0.269658663610163,0.04665699901315617,0.006841480507657782
mlb_so_rate,Random Forest,0.25003613707926264,0.043593516725787054,0.00702529474092541
mlb_so_rate,Gradient Boosting,0.10069407295724775,0.04511588398825027,0.008424258170428975
mlb_hr_rate,Ridge,0.10600315188613829,0.004222109304276599,7.603497404438586e-05
mlb_hr_rate,Random Forest,0.09279016732110856,0.003770555534702704,7.71587463938863e-05
mlb_hr_rate,Gradient Boosting,-0.02386272764099795,0.0037987349519762485,8.70801458477651e-05
