prospect_id,name,position,fangraphs_player_id,fv,top_100_rank,hit_future,game_power_future,speed_future,mlb_expectation,mlb_expectation_numeric,fb_future,cmd_future,velocity_sits_high,best_secondary
8170,Konnor Griffin,SS,sa3065496,65,1.0,45.0,70.0,70.0,All-Star,3,,,,
8171,Jesús Made,SS,sa3024108,65,2.0,60.0,60.0,45.0,All-Star,3,,,,
8176,Max Clark,CF,sa3022683,60,7.0,60.0,45.0,70.0,All-Star,3,,,,
8173,Samuel Basallo,C,28824,60,4.0,45.0,70.0,40.0,All-Star,3,,,,
8172,Kevin McGonigle,2B,sa3022895,60,3.0,70.0,55.0,50.0,All-Star,3,,,,
8175,Sebastian Walcott,SS,sa3021069,60,6.0,45.0,70.0,50.0,All-Star,3,,,,
8183,Carson Williams,SS,30038,55,14.0,35.0,55.0,55.0,Regular,2,,,,
8185,Bryce Eldridge,1B,33390,55,16.0,40.0,70.0,30.0,Regular,2,,,,
8177,Colt Emerson,SS,sa3022923,55,8.0,55.0,50.0,50.0,Regular,2,,,,
8186,Josue De Paula,RF,sa3018591,55,17.0,40.0,60.0,45.0,Regular,2,,,,
8178,JJ Wetherholt,2B,sa3025154,55,9.0,60.0,50.0,50.0,Regular,2,,,,
8190,Ethan Holliday,3B,sa3069149,55,21.0,45.0,60.0,40.0,Regular,2,,,,
8180,Aidan Miller,SS,sa3022609,55,11.0,50.0,60.0,55.0,Regular,2,,,,
8184,George Lombard Jr.,SS,sa3023233,55,15.0,40.0,55.0,55.0,Regular,2,,,,
8179,Leo De Vries,SS,sa3023363,55,10.0,45.0,55.0,40.0,Regular,2,,,,
8189,Alfredo Duno,C,sa3021066,55,20.0,40.0,65.0,50.0,Regular,2,,,,
8246,Jimmy Crooks,C,31354,50,77.0,40.0,45.0,20.0,Regular,2,,,,
8200,Josue Briceño,C,sa3018584,50,31.0,50.0,55.0,30.0,Regular,2,,,,
8208,Joe Mack,C,sa3017374,50,39.0,30.0,50.0,40.0,Regular,2,,,,
8228,Carson Benge,CF,sa3025452,50,59.0,60.0,45.0,55.0,Regular,2,,,,
8215,Braden Montgomery,RF,sa3038253,50,46.0,40.0,60.0,50.0,Regular,2,,,,
8206,Arjun Nimmala,SS,sa3022892,50,37.0,45.0,60.0,40.0,Regular,2,,,,
8210,Thayron Liranzo,C,sa3015790,50,41.0,40.0,60.0,30.0,Regular,2,,,,
8209,Leonardo Bernal,C,sa3015773,50,40.0,50.0,45.0,30.0,Regular,2,,,,
8213,Kevin Alcántara,CF,25971,50,44.0,35.0,60.0,60.0,Regular,2,,,,
8194,Franklin Arias,SS,sa3021845,50,25.0,60.0,45.0,40.0,Regular,2,,,,
8218,Ethan Salas,C,sa3020881,50,49.0,40.0,55.0,40.0,Regular,2,,,,
8238,Jett Williams,CF,sa3020134,50,69.0,40.0,55.0,60.0,Regular,2,,,,
8216,Emmanuel Rodriguez,CF,sa3014693,50,47.0,30.0,60.0,50.0,Regular,2,,,,
8214,Zyhir Hope,RF,sa3022703,50,45.0,40.0,65.0,60.0,Regular,2,,,,
8193,Angel Genao,SS,sa3015706,50,24.0,55.0,55.0,50.0,Regular,2,,,,
8198,Luis Peña,SS,sa3024134,50,29.0,60.0,45.0,55.0,Regular,2,,,,
8212,Harry Ford,C,29958,50,43.0,45.0,45.0,55.0,Regular,2,,,,
8195,Travis Bazzana,2B,sa3025129,50,26.0,50.0,55.0,60.0,Regular,2,,,,
8258,Jeferson Quero,C,sa3015407,50,89.0,40.0,55.0,40.0,Regular,2,,,,
8207,Aiva Arquette,SS,sa3026235,50,38.0,45.0,60.0,60.0,Regular,2,,,,
8241,Eduardo Quintero,CF,sa3021208,50,72.0,50.0,50.0,55.0,Regular,2,,,,
8231,Michael Arroyo,2B,sa3018429,50,62.0,40.0,55.0,45.0,Regular,2,,,,
8245,Kayson Cunningham,2B,sa3069148,50,76.0,70.0,45.0,40.0,Regular,2,,,,
8229,Ryan Waldschmidt,LF,sa3025261,50,60.0,40.0,55.0,60.0,Regular,2,,,,
8240,Rainiel Rodriguez,C,sa3023987,50,71.0,50.0,55.0,40.0,Regular,2,,,,
8197,Josuar De Jesus Gonzalez,SS,sa3067675,50,28.0,50.0,55.0,60.0,Regular,2,,,,
8223,Alex Freeland,SS,31665,50,54.0,35.0,55.0,50.0,Regular,2,,,,
8199,Walker Jenkins,LF,sa3022894,50,30.0,60.0,50.0,40.0,Regular,2,,,,
8244,Felnin Celesten,SS,sa3023381,50,75.0,45.0,55.0,50.0,Regular,2,,,,
8232,Jacob Reimer,3B,sa3020416,50,63.0,60.0,50.0,30.0,Regular,2,,,,
8196,Eli Willits,SS,sa3069164,50,27.0,60.0,45.0,60.0,Regular,2,,,,
8239,Jonny Farmelo,CF,sa3023362,50,70.0,40.0,55.0,70.0,Regular,2,,,,
8224,Jefferson Rojas,SS,sa3018571,50,55.0,50.0,50.0,45.0,Regular,2,,,,
8211,Carter Jensen,C,29478,50,42.0,40.0,50.0,40.0,Regular,2,,,,
8217,Chase DeLauter,RF,sa3021053,50,48.0,55.0,60.0,40.0,Regular,2,,,,
8247,Tre' Morgan,1B,sa3022919,50,78.0,55.0,40.0,50.0,Regular,2,,,,
8230,Cooper Ingle,C,sa3023069,50,61.0,60.0,35.0,50.0,Regular,2,,,,
8243,Edward Florentino,1B,sa3023944,50,74.0,45.0,60.0,30.0,Regular,2,,,,
8225,Cooper Pratt,SS,sa3022867,50,56.0,50.0,45.0,45.0,Regular,2,,,,
8287,Justin Crawford,CF,sa3020240,45,,50.0,30.0,70.0,Part-Time,1,,,,
8415,Andrew Fischer,3B,sa3031366,45,,40.0,55.0,45.0,Part-Time,1,,,,
8441,Luis Lara,CF,sa3018514,45,,50.0,35.0,60.0,Part-Time,1,,,,
8359,A.J. Ewing,CF,sa3022963,45,,40.0,45.0,70.0,Part-Time,1,,,,
8519,Ralphy Velazquez,1B,sa3023013,45,,40.0,55.0,30.0,Part-Time,1,,,,
8489,Tanner Schobel,SS,sa3020009,45,,50.0,40.0,60.0,Part-Time,1,,,,
8383,Gabriel Gonzalez,RF,sa3015723,45,,60.0,40.0,40.0,Part-Time,1,,,,
8518,Marek Houston,SS,sa3034152,45,,60.0,35.0,55.0,Part-Time,1,,,,
8408,Elian Peña,3B,sa3067674,45,,50.0,55.0,30.0,Part-Time,1,,,,
8385,Ryan Clifford,RF,sa3020126,45,,35.0,60.0,30.0,Part-Time,1,,,,
8296,Dax Kilby,RF,sa3069080,45,,45.0,55.0,60.0,Part-Time,1,,,,
8337,Aroon Escobar,2B,sa3018463,45,,55.0,50.0,50.0,Part-Time,1,,,,
8289,Moisés Ballesteros,C,28820,45,,50.0,50.0,20.0,Part-Time,1,,,,
8390,Termarr Johnson,2B,sa3020214,45,,45.0,50.0,50.0,Part-Time,1,,,,
8286,Xavier Isaac,1B,sa3020498,45,,30.0,70.0,40.0,Part-Time,1,,,,
8413,Wyatt Sanford,SS,sa3066665,45,,50.0,45.0,50.0,Part-Time,1,,,,
8439,Murf Gray,3B,sa3032619,45,,45.0,55.0,40.0,Part-Time,1,,,,
8332,Drew Gilbert,CF,31545,45,,50.0,40.0,55.0,Part-Time,1,,,,
8358,Jhonny Level,2B,sa3023898,45,,50.0,50.0,50.0,Part-Time,1,,,,
8459,Yorger Bautista,CF,sa3067684,45,,60.0,45.0,60.0,Part-Time,1,,,,
8310,Gavin Kilen,SS,sa3035353,45,,55.0,45.0,55.0,Part-Time,1,,,,
8295,Sal Stewart,3B,31505,45,,45.0,50.0,30.0,Part-Time,1,,,,
8379,Brailer Guerrero,RF,sa3021072,45,,40.0,55.0,40.0,Part-Time,1,,,,
8520,Dominic Keegan,1B,sa3020194,45,,40.0,50.0,30.0,Part-Time,1,,,,
8493,Cooper Kinney,2B,sa3017793,45,,45.0,50.0,40.0,Part-Time,1,,,,
8376,Yairo Padilla,SS,sa3023925,45,,55.0,55.0,40.0,Part-Time,1,,,,
8360,Devin Taylor,LF,sa3043560,45,,50.0,55.0,50.0,Part-Time,1,,,,
8285,Diego Tornes,LF,sa3066458,45,,50.0,60.0,40.0,Part-Time,1,,,,
8465,Caden Bodine,C,sa3027305,45,,60.0,45.0,40.0,Part-Time,1,,,,
8437,Griff O'Ferrall,SS,sa3025409,45,,60.0,40.0,50.0,Part-Time,1,,,,
8288,Wehiwa Aloy,SS,sa3025961,45,,35.0,55.0,50.0,Part-Time,1,,,,
8338,Dylan Beavers,CF,31695,45,,50.0,40.0,55.0,Part-Time,1,,,,
8365,Enrique Bradfield Jr.,CF,sa3022917,45,,60.0,35.0,70.0,Part-Time,1,,,,
8276,Ike Irish,C,sa3034445,45,,45.0,55.0,40.0,Part-Time,1,,,,
8496,Yoeilin Cespedes,2B,sa3021085,45,,45.0,55.0,40.0,Part-Time,1,,,,
8467,Mikey Romero,3B,sa3020216,45,,35.0,55.0,40.0,Part-Time,1,,,,
8355,James Triantos,2B,sa3017295,45,,70.0,35.0,50.0,Part-Time,1,,,,
8393,Dorian Soto,SS,sa3067678,45,,45.0,55.0,60.0,Part-Time,1,,,,
8329,Ethan Conrad,CF,sa3029266,45,,50.0,50.0,55.0,Part-Time,1,,,,
8312,Caleb Bonemer,3B,sa3067043,45,,45.0,50.0,40.0,Part-Time,1,,,,
8336,Cam Collier,3B,sa3020131,45,,40.0,55.0,30.0,Part-Time,1,,,,
8271,Charlie Condon,3B,sa3025257,45,,30.0,60.0,40.0,Part-Time,1,,,,
8435,Juan Brito,2B,sa3009808,45,,55.0,45.0,50.0,Part-Time,1,,,,
8363,Roc Riggio,2B,sa3022750,45,,40.0,55.0,50.0,Part-Time,1,,,,
8492,Kahlil Watson,CF,sa3017513,45,,40.0,55.0,55.0,Part-Time,1,,,,
8409,Jaison Chourio,CF,sa3018399,45,,55.0,45.0,50.0,Part-Time,1,,,,
8378,Gabriel Rodriguez,SS,sa3024645,45,,50.0,50.0,50.0,Part-Time,1,,,,
8548,Jace LaViolette,CF,sa3036058,45,,35.0,55.0,55.0,Part-Time,1,,,,
8266,Kevin Alvarez,LF,sa3067677,45,,45.0,60.0,40.0,Part-Time,1,,,,
8462,Joendry Vargas,SS,sa3021067,45,,35.0,50.0,40.0,Part-Time,1,,,,
8491,James Tibbs III,RF,sa3025333,45,,45.0,55.0,50.0,Part-Time,1,,,,
8405,Emil Morales,SS,sa3023887,45,,35.0,60.0,50.0,Part-Time,1,,,,
8466,Cam Cannarella,CF,sa3028360,45,,40.0,45.0,60.0,Part-Time,1,,,,
8389,Andrew Salas,SS,sa3067045,45,,50.0,50.0,60.0,Part-Time,1,,,,
8377,Mike Sirota,CF,sa3042374,45,,40.0,50.0,60.0,Part-Time,1,,,,
8412,Nathan Martorella,1B,sa3019978,45,,50.0,50.0,30.0,Part-Time,1,,,,
