mlb_player_id,debut_season,mlb_games
663993,2021,768
642715,2021,749
521692,2021,728
650402,2021,724
606192,2021,722
572233,2021,716
641487,2021,712
656775,2021,711
593428,2021,696
624428,2021,690
514888,2021,685
643396,2021,684
573262,2021,679
664761,2021,675
683734,2021,674
666182,2021,673
502054,2021,664
663697,2021,659
595777,2021,652
641355,2021,651
547180,2021,643
572191,2021,642
650489,2021,639
606466,2021,639
663538,2021,636
677951,2022,626
545341,2021,626
645277,2021,624
595879,2021,624
663728,2021,623
592626,2021,620
663624,2021,617
571657,2021,616
500743,2021,613
647304,2021,611
662139,2021,611
669720,2021,608
642133,2021,607
669016,2021,605
663647,2021,604
664702,2021,601
596146,2021,598
661388,2021,595
593871,2021,592
608369,2021,590
670541,2021,588
571970,2021,588
575929,2021,585
571771,2021,585
669242,2021,583
680757,2022,583
624585,2021,582
657757,2021,580
668942,2021,580
664056,2021,576
681082,2022,573
660821,2021,570
664040,2021,564
592669,2021,564
671277,2021,564
672695,2021,562
650333,2021,562
665862,2021,558
553869,2021,554
643446,2021,553
669289,2021,552
663886,2021,550
656811,2021,549
657041,2021,548
600869,2021,547
607043,2021,546
669221,2021,541
519317,2021,541
664238,2021,538
621438,2021,537
664913,2021,535
650859,2021,532
673548,2022,532
666185,2021,532
670623,2021,532
602104,2021,531
665487,2021,528
621035,2021,528
670032,2021,527
663457,2021,527
656716,2021,527
682928,2022,523
518934,2021,523
671739,2022,522
673357,2021,521
502110,2021,520
667670,2021,518
624424,2021,518
664774,2021,518
657656,2021,517
516782,2021,516
679529,2022,516
663757,2021,513
642086,2021,512
680776,2021,510
543807,2021,510
641658,2021,510
570482,2021,509
444482,2021,508
453568,2021,505
660670,2021,504
665750,2021,500
676801,2021,500
657557,2021,498
683002,2022,497
664728,2021,496
596103,2021,492
680977,2022,492
650559,2021,491
680777,2021,489
668715,2022,488
682998,2022,488
543257,2021,486
547989,2021,485
456781,2021,482
670764,2021,480
608385,2021,478
666624,2022,477
606115,2021,475
624641,2021,474
605170,2021,474
641933,2021,473
683011,2023,472
656582,2021,472
660688,2021,472
621028,2021,467
621439,2021,466
608336,2021,466
676694,2021,465
663898,2021,463
519203,2021,462
596115,2021,462
670770,2021,461
663837,2021,460
649966,2021,458
669701,2022,456
608348,2021,454
578428,2021,452
672580,2022,449
641584,2021,449
622534,2021,448
668930,2023,448
642731,2021,447
643289,2021,447
669394,2021,447
663616,2021,442
596142,2021,438
660162,2021,436
656976,2021,436
669127,2022,435
676391,2021,434
664983,2021,431
493329,2021,431
592696,2021,429
594807,2021,428
669357,2022,426
672386,2021,425
624431,2021,425
686469,2022,424
666176,2021,422
641313,2021,421
682829,2023,420
677950,2022,420
628451,2021,420
643376,2021,417
623912,2021,414
676475,2022,414
678662,2022,414
686668,2023,413
621550,2021,412
592273,2021,411
641598,2021,410
518595,2021,409
672284,2021,407
462101,2021,407
643393,2021,407
668709,2022,404
666139,2021,403
624415,2021,402
666160,2021,402
673237,2022,401
663743,2021,401
641343,2021,400
645302,2021,398
669261,2022,397
518792,2021,397
545361,2021,396
571745,2021,396
542932,2021,396
643565,2021,385
647351,2021,384
670042,2021,383
605204,2021,383
656896,2021,382
518735,2021,382
669397,2022,382
500871,2021,381
665833,2021,379
543063,2021,377
642350,2021,372
676609,2023,369
641820,2021,369
621563,2021,367
687263,2023,367
681481,2022,366
677649,2022,362
608701,2021,360
686681,2022,358
543510,2021,358
606992,2021,357
650391,2021,357
608671,2021,356
666181,2022,354
672275,2023,353
607054,2021,353
643265,2021,349
666134,2022,349
657136,2021,348
668731,2021,347
642180,2021,345
686217,2023,344
570731,2021,342
624503,2021,338
543939,2021,337
624512,2021,336
678882,2023,336
607680,2021,329
673962,2022,325
606132,2021,325
669222,2021,324
672356,2022,320
620443,2021,320
671732,2023,319
595909,2021,318
665120,2021,318
666310,2022,318
518626,2021,317
691026,2023,316
672515,2022,316
671289,2022,316
545121,2021,316
666915,2021,315
669743,2022,315
641645,2021,314
516416,2021,314
592178,2021,314
443558,2021,313
668901,2022,313
572761,2021,312
671218,2022,312
681351,2022,311
572041,2021,309
678246,2022,309
694384,2023,308
598265,2021,308
682626,2022,304
680911,2021,303
696285,2023,303
807799,2023,303
672820,2022,303
663698,2021,302
641531,2021,301
665828,2022,301
683146,2022,299
649557,2021,299
543281,2021,297
668800,2021,297
514917,2021,296
542583,2021,296
663630,2021,295
605113,2021,294
666023,2022,293
691718,2023,293
668670,2021,293
