rank,prospect_id,name,age,position,organization,level,predicted_fv,predicted_tier,confidence_score,milb_games,model_version
1,514,Kristian Campbell,,2B,,,60,Star,0.9031118750572205,129,v1.0
2,515,Dalton Rushing,,C,,,60,Star,0.9099540710449219,231,v1.0
3,513,Samuel Basallo,,C,,,60,Star,0.9077514410018921,241,v1.0
4,508,Roman Anthony,20.0,CF,Boston Red Sox,AAA,60,Star,0.9407880306243896,0,v1.0
5,511,Dylan Crews,,RF,,,60,Star,0.8882462382316589,134,v1.0
6,558,Edgar Quero,,C,,,50,Solid,0.9801586270332336,310,v1.0
7,563,Harry Ford,,C,,,50,Solid,0.9833383560180664,338,v1.0
8,565,Alex Freeland,,SS,,,50,Solid,0.9811956882476807,250,v1.0
9,566,Carter Jensen,,C,,,50,Solid,0.9877486824989319,354,v1.0
10,567,Chandler Simpson,,CF,,,50,Solid,0.9878532886505127,225,v1.0
11,568,Alan Roden,,LF,,,50,Solid,0.9849758744239807,265,v1.0
12,572,Jimmy Crooks,,C,,,50,Solid,0.9914283156394958,228,v1.0
13,165,Patrick Galle,21.0,SP,Boston Red Sox,Rookie,50,Solid,0.9771575331687927,0,v1.0
14,517,Drake Baldwin,,C,,,50,Solid,0.9800547361373901,254,v1.0
15,518,Marcelo Mayer,,3B,,,50,Solid,0.9680435061454773,246,v1.0
16,519,Carson Williams,,SS,,,50,Solid,0.9806867241859436,343,v1.0
17,520,Nick Kurtz,,1B,,,50,Solid,0.979584276676178,12,v1.0
18,521,Bryce Eldridge,,1B,,,50,Solid,0.962748646736145,131,v1.0
19,522,Jac Caglianone,,RF,,,50,Solid,0.9716926217079163,29,v1.0
20,523,Jasson Domínguez,,LF,,,50,Solid,0.9673441052436829,296,v1.0
21,524,Matt Shaw,,3B,,,50,Solid,0.9676189422607422,155,v1.0
22,528,Jordan Lawlar,,SS,,,50,Solid,0.9802801012992859,213,v1.0
23,532,Jacob Wilson,,SS,,,50,Solid,0.9860668778419495,71,v1.0
24,536,Cole Young,,2B,,,50,Solid,0.9908812046051025,259,v1.0
25,543,Agustín Ramírez,,C,,,50,Solid,0.9890221357345581,240,v1.0
26,546,Kevin Alcántara,,RF,,,50,Solid,0.9816042184829712,323,v1.0
27,544,Adrian Del Castillo,,C,,,50,Solid,0.9837450981140137,287,v1.0
28,547,Cam Smith,,RF,,,50,Solid,0.9910027980804443,32,v1.0
29,548,Coby Mayo,,1B,,,50,Solid,0.9852961897850037,335,v1.0
30,550,Kyle Teel,,C,,,50,Solid,0.9938001036643982,135,v1.0
31,551,Luke Keaschall,,2B,,,50,Solid,0.9838529825210571,130,v1.0
32,630,Jhostynxon Garcia,,CF,,,45,Role Player,0.9902111291885376,180,v1.0
33,632,Nacho Alvarez Jr.,,SS,,,45,Role Player,0.9904956817626953,243,v1.0
34,637,Trey Sweeney,,SS,,,45,Role Player,0.9904963970184326,211,v1.0
35,638,Chase Meidroth,,SS,,,45,Role Player,0.9856114387512207,252,v1.0
36,77,Trey Seeley,23.0,SP,San Francisco Giants,Rookie,45,Role Player,0.9873148202896118,0,v1.0
37,647,C.J. Kayfus,,1B,,,45,Role Player,0.9919141530990601,124,v1.0
38,651,Jace Jung,,3B,,,45,Role Player,0.9927183389663696,162,v1.0
39,653,Colson Montgomery,,SS,,,45,Role Player,0.991659939289093,280,v1.0
40,654,Luisangel Acuña,,2B,,,45,Role Player,0.9940283298492432,343,v1.0
41,663,Carlos Narváez,,C,,,45,Role Player,0.9902925491333008,79,v1.0
42,667,Bryan Ramos,,3B,,,45,Role Player,0.9885146021842957,289,v1.0
43,668,Drew Gilbert,,CF,,,45,Role Player,0.990742027759552,175,v1.0
44,582,Jacob Melton,,LF,,,45,Role Player,0.9860100746154785,223,v1.0
45,585,Christian Moore,,2B,,,45,Role Player,0.9843488335609436,25,v1.0
46,587,Brady House,,3B,,,45,Role Player,0.9872000217437744,262,v1.0
47,591,Adael Amador,,2B,,,45,Role Player,0.9902669787406921,279,v1.0
48,592,Brice Matthews,,SS,,,45,Role Player,0.9901779294013977,75,v1.0
49,597,Denzel Clarke,,CF,,,45,Role Player,0.9870380163192749,273,v1.0
50,599,Yanquiel Fernández,,RF,,,45,Role Player,0.9913130402565002,351,v1.0
51,600,Nick Yorke,,2B,,,45,Role Player,0.9899289011955261,313,v1.0
52,601,Daylen Lile,,RF,,,45,Role Player,0.9908922910690308,236,v1.0
53,608,Moisés Ballesteros,,C,,,45,Role Player,0.9914012551307678,148,v1.0
54,623,Owen Caissie,,RF,,,45,Role Player,0.9900071620941162,225,v1.0
55,631,Ronny Mauricio,,3B,,,45,Role Player,0.9813186526298523,239,v1.0
56,63,Chase Heath,22.0,C,St. Louis Cardinals,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
57,64,Kellan Oakes,21.0,SP,Houston Astros,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
58,65,Luke Broderick,21.0,SP,Colorado Rockies,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
59,66,Jake Cook,22.0,CF,Toronto Blue Jays,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
60,67,Cameron Millar,18.0,SP,Kansas City Royals,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
61,68,Luke Hill,21.0,3B,Cleveland Guardians,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
62,69,Dixon Williams,21.0,2B,Atlanta Braves,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
63,70,Ben Abeldt,21.0,SP,Texas Rangers,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
64,71,Cash Kuiper,20.0,SP,Detroit Tigers,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
65,72,Grant Jay,22.0,C,Seattle Mariners,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
66,73,Kaden Echeman,22.0,SP,St. Louis Cardinals,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
67,74,Brayden Corn,22.0,CF,Seattle Mariners,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
68,75,Jonathan Vastine,22.0,SS,San Diego Padres,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
69,76,Derek Munoz,18.0,SP,Cleveland Guardians,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
70,78,Kade Brown,21.0,SP,Athletics,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
71,79,Chase Bentley,18.0,SP,Milwaukee Brewers,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
