rank,mlb_player_id,full_name,current_age,primary_position,current_team,highest_level_name,total_milb_pa,pred_mlb_wrc_plus,pred_mlb_woba,pred_mlb_avg_ops,composite_score,weighted_prospect_score
1,677956,Rece Hinds,25.089664613278575,RF,,AAA,1186.0,146.8208395111957,0.32326094066389316,0.7656312135159566,116.9918047701424,1.7907751854100429
2,683090,Matthew Lugo,24.416153319644078,LF,,AAA,639.0,93.37277344924927,0.27202105340977245,0.6476691747851723,89.18139789976784,1.7076674213680647
3,687637,Dylan Beavers,24.15879534565366,RF,,AAA,608.0,85.65970227755548,0.2232524126222085,0.5337246717382513,78.79205751015985,1.6527552875925455
4,682617,Marco Luciano,24.076659822039698,OF,,AAA,934.0,69.59434071153072,0.2480001814775014,0.5904766225654794,78.34133150590888,1.8487631923991508
5,672012,Tyler Black,25.201916495550993,3B,,AAA,1020.0,78.86711028789418,0.27622254032729376,0.6495359719420059,73.72089182895965,1.5531777077966507
6,678391,Jorbit Vivas,24.583162217659137,2B,,AAA,1067.0,61.43519131955629,0.2508312431575482,0.5926288629386439,69.31982833846351,1.7405423477302822
7,656883,Jakson Reetz,29.763175906913073,C,,AAA,1211.0,205.49658215609114,0.42318240417671127,1.0075771528016948,65.79764605903127,0.8662809813586074
8,678545,Osleivis Basabe,25.06776180698152,SS,,AAA,1681.0,63.62768990002191,0.20241627767945944,0.4933022682844269,59.22204315043272,1.6597238547797368
9,687515,Colby Thomas,24.698151950718685,RF,,AAA,902.0,54.349966498492186,0.18402521413100778,0.4381552717404945,56.82723410466982,1.9265631768297395
10,671655,George Valera,24.90075290896646,RF,,AAA,686.0,71.39996307191798,0.24188464526919567,0.5759158220695135,56.14565523826235,0.7048552035031195
11,685133,Wade Meckler,25.464750171115675,OF,,AAA,729.0,52.66833063981287,0.21179299236278507,0.5049956704682749,55.78682267088335,1.9250388432386647
12,671117,Darren Baker,26.65571526351814,2B,,AAA,953.0,102.55587217603075,0.2042824554902094,0.48654547568715906,55.63041454195892,1.0201174231946557
13,678489,Jorge Barrosa,24.637919233401778,LF,,AAA,502.0,60.10871276256524,0.23379329666641133,0.5566507063485983,53.83401951502001,0.8193563596601656
14,683748,Victor Mesa Jr.,24.082135523613964,CF,,AAA,1427.0,45.8639169075943,0.17129109624361705,0.40534649136882,53.78073918416574,1.9408242596381737
