rank,mlb_player_id,full_name,player_type,current_age,age_tier,primary_position,current_team,highest_level,pred_mlb_wrc_plus,combined_age_factor,prospect_value_score
1,815888,Leo De Vries,Hitter,18.99247091033539,Elite Youth,SS,0,AA,88.0,6.875165251067998,840.1100336842122
2,806068,Colt Emerson,Hitter,20.21902806297057,Elite Youth,SS,0,AAA,92.70652818991096,4.862173429799563,683.6288273487836
3,703185,Nelson Rada,Hitter,20.123203285420946,Elite Youth,CF,0,AAA,90.30141017780502,5.0910505592848745,658.1643605835384
4,808535,John Gil,Hitter,19.4031485284052,Elite Youth,SS,0,AA,85.70526315789473,5.628442365070395,629.9046419833594
5,806956,Ethan Salas,Hitter,19.353867214236825,Elite Youth,C,0,AA,84.15652173913044,5.7656103664884935,628.8546487693616
6,806964,Sebastian Walcott,Hitter,19.57015742642026,Elite Youth,SS,0,AA,86.58725761772854,5.18666409433628,612.4708198014154
7,815908,Jesús Made,Hitter,18.420260095824776,Elite Youth,SS,0,AA,89.0639455782313,9.067092434095484,576.8899718447107
8,805805,Walker Jenkins,Hitter,20.63244353182752,Elite Youth,OF,0,AAA,92.80696132596684,3.9842255110713953,567.3146357466661
9,808706,Asbel Gonzalez,Hitter,19.76454483230664,Elite Youth,OF,0,AA,87.21793372319688,4.714593177587397,530.5519056908048
10,808265,Franklin Arias,Hitter,19.88501026694045,Elite Youth,SS,0,AA,85.1947194719472,4.4431573140436775,502.6522375467874
11,804606,Konnor Griffin,Hitter,19.457905544147845,Elite Youth,SS,0,AA,92.03084337349398,5.479734367128425,495.2442356290673
12,829035,Andrew Salas,Hitter,17.596167008898014,Elite Youth,SS,0,A,80.4794701986755,7.343577801758544,477.8914180721748
13,807083,Nathan Flewelling,Hitter,18.90759753593429,Elite Youth,C,0,A+,86.28893709327549,5.208670626586749,464.1643384624507
14,806953,Eduardo Tait,Hitter,19.11567419575633,Elite Youth,C,0,A+,83.1771,4.69549377046887,439.867067519507
15,821100,Justin Gonzales,Hitter,18.770704996577688,Elite Youth,OF,0,A+,85.06896551724137,5.575249128437489,436.9966703268116
16,800543,Josue De Paula,Hitter,20.3750855578371,Elite Youth,CF,0,AA,89.17093206951027,3.486209694096543,429.0771150360221
17,815154,Slade Caldwell,Hitter,19.307323750855577,Elite Youth,OF,0,A+,86.97209302325581,4.266063890279136,423.7708509992133
18,806252,Ralphy Velazquez,Hitter,20.36413415468857,Elite Youth,1B,0,AA,87.25111334002005,3.5052407537590216,422.29095338733936
19,800198,Cristofer Torin,Hitter,20.369609856262837,Elite Youth,SS,0,AA,87.87356507679871,3.495712767306213,412.92329967773793
20,806146,George Lombard Jr.,Hitter,20.35044490075291,Elite Youth,SS,0,AA,86.96601073345259,3.5291701328614558,408.4883642400533
21,805795,Aidan Miller,Hitter,21.3305954825462,Premium Prospect,SS,0,AAA,90.72790697674418,2.8386183156061526,388.59352015180747
22,800473,Jefferson Rojas,Hitter,20.45448323066393,Elite Youth,SS,0,AA,85.64243943191312,3.3511758975619754,380.6057988423232
