rank,mlb_player_id,full_name,player_type,current_age,age_tier,primary_position,current_team,highest_level,pred_mlb_wrc_plus,combined_age_factor,prospect_value_score
1,827734,Wei-En Lin,Pitcher,19.926078028747437,Elite Youth,P,0,AA,153.21167119022408,5.574771091808369,1271.5148443859152
2,806258,Thomas White,Pitcher,21.02395619438741,Premium Prospect,P,0,AAA,160.0,4.423118532301531,1166.7424233835488
3,695684,Elmer Rodriguez-Cruz,Pitcher,22.140999315537304,Premium Prospect,P,0,AAA,160.0,2.6832735847547755,712.6803946485719
4,700327,Welinton Herrera,Pitcher,21.51403148528405,Premium Prospect,P,0,AA,160.0,2.694296045062022,691.548464381777
5,702281,Robby Snelling,Pitcher,21.80424366872005,Premium Prospect,P,0,AAA,134.67841561514194,3.1230185802005312,651.6343652565854
6,800571,Santiago Suarez,Pitcher,20.739219712525667,Elite Youth,P,0,AAA,123.66411914062502,5.016329724234461,642.0998695094548
7,702650,Michael Forret,Pitcher,21.505817932922657,Premium Prospect,P,0,AA,150.3042594128303,2.7046360852796902,602.4077644577285
8,804948,Gage Stanifer,Pitcher,21.88911704312115,Premium Prospect,P,0,AA,160.0,2.2599287391138345,550.6146511663886
9,692294,Luis Gutierrez,Pitcher,22.190280629705683,Premium Prospect,P,0,AAA,127.45911333878888,2.624115950072344,510.9382342926157
10,691725,Andrew Painter,Pitcher,22.49691991786448,Premium Prospect,P,0,AAA,132.55100559105432,2.283075777918457,466.9185682973827
11,699008,Antwone Kelly,Pitcher,22.102669404517453,Premium Prospect,P,0,AA,149.0180530120482,2.043030713841039,450.2357785499499
12,702275,JR Ritchie,Pitcher,22.286105407255302,Premium Prospect,P,0,AAA,119.03369617563736,2.512635231569972,449.3288486102472
13,694205,Victor Lizarraga,Pitcher,21.856262833675565,Premium Prospect,P,0,AAA,99.7648065423848,3.0508533583051425,444.21446575845766
14,811309,Bishop Letson,Pitcher,21.062286105407257,Premium Prospect,P,0,AA,160.0,3.322282561478174,422.0202513934004
15,703596,Karson Milbrandt,Pitcher,21.464750171115675,Premium Prospect,P,0,AA,107.527692881335,2.756901414420974,414.5552666809189
16,695534,Chase Petty,Pitcher,22.51334702258727,Premium Prospect,P,0,AAA,134.65747131147543,1.970482026547168,411.0708901780556
17,806046,Alex Clemmey,Pitcher,20.22450376454483,Elite Youth,P,0,AA,63.70036553356283,4.871941274988013,405.1990014376472
18,694357,Ricky Tiedemann,Pitcher,23.14031485284052,Standard Prospect,P,0,AAA,160.0,1.4779001122950486,396.0828300832754
19,805060,Yenrri Rojas,Pitcher,21.856262833675565,Premium Prospect,P,0,AA,120.46398643567557,2.295160835844408,395.5839782946888
20,701328,Jackson Ferris,Pitcher,21.730321697467488,Premium Prospect,P,0,AA,113.7758821430496,2.435069474582879,391.765073955221
21,700712,Walbert Urena,Pitcher,21.70294318959617,Premium Prospect,P,0,AAA,82.75380536748513,3.268271741133664,390.8108829029982
22,695611,Gage Jump,Pitcher,22.49144421629021,Premium Prospect,P,0,AA,154.2871905978136,1.6974499216709436,390.53863710780206
23,695001,Alimber Santa,Pitcher,22.43394934976044,Premium Prospect,P,0,AAA,108.99192307692309,2.349460922047421,381.1752047433992
24,700842,Eduardo Rivera,Pitcher,22.321697467488026,Premium Prospect,P,0,AA,141.61830228500207,1.8409870285532863,381.04305928298993
25,801725,Luis De León,Pitcher,22.48596851471595,Premium Prospect,P,0,AA,150.04857173967838,1.7019118803772633,378.2716027670469
26,801739,Carlos Lagrange,Pitcher,22.37371663244353,Premium Prospect,P,0,AA,142.41407142044574,1.7958356869839291,374.2632644041344
27,703445,Adam Serwinowski,Pitcher,21.336071184120467,Premium Prospect,P,0,AA,91.8080333881652,2.926921577079069,368.3040322853789
28,696070,Kendry Rojas,Pitcher,22.86652977412731,Premium Prospect,P,0,AAA,136.78051744186047,1.6765483779549109,356.72765800593214
29,814490,Ethan Pecko,Pitcher,23.1211498973306,Standard Prospect,P,0,AAA,148.06040023654643,1.4910441205096685,344.76274554217366
30,811310,Nigel Belgrave,Pitcher,23.408624229979463,Standard Prospect,P,0,AAA,160.0,1.3050329015880415,341.7715225778304
31,691947,Ronan Kopp,Pitcher,23.19780971937029,Standard Prospect,P,0,AAA,150.61085898123326,1.4391241797879024,340.0452265208927
32,694346,Trey Gibson,Pitcher,23.392197125256672,Standard Prospect,P,0,AAA,160.0,1.3150410260891503,337.72015575383654
33,828511,Michael Caldon,Pitcher,22.98425735797399,Premium Prospect,P,0,AAA,136.13171977329972,1.5882074479267692,335.90696534982663
34,691776,Josh Hartle,Pitcher,22.54346338124572,Premium Prospect,P,0,AA,154.74439832166627,1.439655005555622,332.44702169881725
35,701195,Manuel Castro,Pitcher,23.4113620807666,Standard Prospect,P,0,AAA,159.0701038674033,1.3033719031029205,330.2013137994196
36,701590,Khal Stephen,Pitcher,22.798083504449007,Premium Prospect,P,0,AA,160.0,1.2733117626379045,311.3409682094989
