rank,mlb_player_id,full_name,player_type,current_age,age_tier,primary_position,current_team,highest_level,pred_mlb_wrc_plus,combined_age_factor,prospect_value_score
1,827734,Wei-En Lin,Pitcher,19.926078028747433,Elite Youth,P,0,AA,153.21167119022408,5.574771091808369,1271.5148443859152
2,806258,Thomas White,Pitcher,21.023956194387406,Premium Prospect,P,0,AAA,160.0,4.423118532301531,1166.7424233835488
3,815888,Leo De Vries,Hitter,18.99247091033539,Elite Youth,SS,0,AA,88.0,6.875165251067998,840.1100336842122
4,695684,Elmer Rodriguez-Cruz,Pitcher,22.140999315537304,Premium Prospect,P,0,AAA,160.0,2.6832735847547755,712.6803946485719
5,700327,Welinton Herrera,Pitcher,21.51403148528405,Premium Prospect,P,0,AA,160.0,2.694296045062022,691.548464381777
6,806068,Colt Emerson,Hitter,20.21902806297057,Elite Youth,SS,0,AAA,92.70652818991097,4.862173429799563,683.6288273487836
7,703185,Nelson Rada,Hitter,20.123203285420946,Elite Youth,CF,0,AAA,90.30141017780502,5.0910505592848745,658.1643605835384
8,702281,Robby Snelling,Pitcher,21.804243668720055,Premium Prospect,P,0,AAA,134.67841561514194,3.1230185802005312,651.6343652565854
9,800571,Santiago Suarez,Pitcher,20.739219712525667,Elite Youth,P,0,AAA,123.66411914062502,5.016329724234461,642.0998695094548
10,808535,John Gil,Hitter,19.4031485284052,Elite Youth,SS,0,AA,85.70526315789473,5.628442365070395,629.9046419833594
11,806956,Ethan Salas,Hitter,19.353867214236825,Elite Youth,C,0,AA,84.15652173913044,5.7656103664884935,628.8546487693616
12,806964,Sebastian Walcott,Hitter,19.57015742642026,Elite Youth,SS,0,AA,86.58725761772854,5.18666409433628,612.4708198014154
13,702650,Michael Forret,Pitcher,21.505817932922657,Premium Prospect,P,0,AA,150.3042594128303,2.7046360852796902,602.4077644577285
14,815908,Jesús Made,Hitter,18.420260095824776,Elite Youth,SS,0,AA,89.0639455782313,9.067092434095484,576.8899718447107
15,805805,Walker Jenkins,Hitter,20.632443531827516,Elite Youth,OF,0,AAA,92.80696132596685,3.9842255110713953,567.3146357466661
16,804948,Gage Stanifer,Pitcher,21.88911704312115,Premium Prospect,P,0,AA,160.0,2.2599287391138345,550.6146511663886
17,808706,Asbel Gonzalez,Hitter,19.76454483230664,Elite Youth,OF,0,AA,87.21793372319688,4.714593177587397,530.5519056908048
18,692294,Luis Gutierrez,Pitcher,22.190280629705683,Premium Prospect,P,0,AAA,127.45911333878887,2.624115950072344,510.93823429261573
19,808265,Franklin Arias,Hitter,19.88501026694045,Elite Youth,SS,0,AA,85.1947194719472,4.4431573140436775,502.6522375467874
20,804606,Konnor Griffin,Hitter,19.457905544147845,Elite Youth,SS,0,AA,92.03084337349398,5.479734367128425,495.2442356290673
21,829035,Andrew Salas,Hitter,17.596167008898014,Elite Youth,SS,0,A,80.4794701986755,7.343577801758544,477.8914180721748
22,691725,Andrew Painter,Pitcher,22.496919917864478,Premium Prospect,P,0,AAA,132.55100559105432,2.283075777918457,466.9185682973827
23,807083,Nathan Flewelling,Hitter,18.90759753593429,Elite Youth,C,0,A+,86.28893709327549,5.208670626586749,464.1643384624507
24,699008,Antwone Kelly,Pitcher,22.102669404517453,Premium Prospect,P,0,AA,149.0180530120482,2.043030713841039,450.2357785499499
25,702275,JR Ritchie,Pitcher,22.286105407255306,Premium Prospect,P,0,AAA,119.03369617563736,2.5126352315699716,449.3288486102472
26,694205,Victor Lizarraga,Pitcher,21.856262833675565,Premium Prospect,P,0,AAA,99.76480654238479,3.0508533583051425,444.21446575845766
27,806953,Eduardo Tait,Hitter,19.11567419575633,Elite Youth,C,0,A+,83.1771,4.69549377046887,439.867067519507
28,821100,Justin Gonzales,Hitter,18.770704996577688,Elite Youth,OF,0,A+,85.06896551724137,5.575249128437489,436.9966703268116
29,800543,Josue De Paula,Hitter,20.3750855578371,Elite Youth,CF,0,AA,89.17093206951027,3.486209694096543,429.0771150360221
30,815154,Slade Caldwell,Hitter,19.307323750855577,Elite Youth,OF,0,A+,86.97209302325581,4.266063890279136,423.77085099921334
31,806252,Ralphy Velazquez,Hitter,20.36413415468857,Elite Youth,1B,0,AA,87.25111334002005,3.5052407537590216,422.29095338733936
32,811309,Bishop Letson,Pitcher,21.062286105407257,Premium Prospect,P,0,AA,160.0,3.322282561478174,422.0202513934004
33,703596,Karson Milbrandt,Pitcher,21.464750171115675,Premium Prospect,P,0,AA,107.527692881335,2.756901414420974,414.5552666809189
34,800198,Cristofer Torin,Hitter,20.369609856262834,Elite Youth,SS,0,AA,87.87356507679871,3.495712767306213,412.92329967773793
35,695534,Chase Petty,Pitcher,22.51334702258727,Premium Prospect,P,0,AAA,134.65747131147543,1.9704820265471676,411.07089017805555
36,806146,George Lombard Jr.,Hitter,20.35044490075291,Elite Youth,SS,0,AA,86.96601073345259,3.5291701328614553,408.48836424005333
37,806046,Alex Clemmey,Pitcher,20.22450376454483,Elite Youth,P,0,AA,63.70036553356283,4.871941274988013,405.1990014376472
38,694357,Ricky Tiedemann,Pitcher,23.140314852840522,Standard Prospect,P,0,AAA,160.0,1.4779001122950486,396.08283008327544
39,805060,Yenrri Rojas,Pitcher,21.856262833675565,Premium Prospect,P,0,AA,120.46398643567557,2.2951608358444076,395.5839782946888
40,701328,Jackson Ferris,Pitcher,21.730321697467488,Premium Prospect,P,0,AA,113.77588214304959,2.435069474582879,391.765073955221
41,700712,Walbert Urena,Pitcher,21.702943189596166,Premium Prospect,P,0,AAA,82.75380536748513,3.268271741133664,390.8108829029982
42,695611,Gage Jump,Pitcher,22.491444216290212,Premium Prospect,P,0,AA,154.2871905978136,1.6974499216709436,390.53863710780206
43,805795,Aidan Miller,Hitter,21.3305954825462,Premium Prospect,SS,0,AAA,90.72790697674418,2.8386183156061526,388.59352015180747
44,695001,Alimber Santa,Pitcher,22.43394934976044,Premium Prospect,P,0,AAA,108.99192307692307,2.349460922047421,381.17520474339915
45,700842,Eduardo Rivera,Pitcher,22.321697467488022,Premium Prospect,P,0,AA,141.61830228500207,1.8409870285532866,381.04305928298993
46,800473,Jefferson Rojas,Hitter,20.45448323066393,Elite Youth,SS,0,AA,85.64243943191312,3.3511758975619754,380.6057988423232
47,801725,Luis De León,Pitcher,22.48596851471595,Premium Prospect,P,0,AA,150.04857173967838,1.7019118803772633,378.2716027670469
48,801739,Carlos Lagrange,Pitcher,22.373716632443532,Premium Prospect,P,0,AA,142.41407142044574,1.7958356869839291,374.26326440413436
49,703445,Adam Serwinowski,Pitcher,21.336071184120467,Premium Prospect,P,0,AA,91.80803338816519,2.9269215770790695,368.3040322853789
50,814307,Zyhir Hope,Hitter,20.71731690622861,Elite Youth,CF,0,AA,88.61818181818181,2.939100448210792,366.4640372273311
51,696070,Kendry Rojas,Pitcher,22.86652977412731,Premium Prospect,P,0,AAA,136.78051744186047,1.6765483779549109,356.72765800593214
52,800406,Aron Estrada,Hitter,20.733744010951405,Elite Youth,2B,0,AA,87.38725274725275,2.915030505993835,352.4013230509075
53,703601,Max Clark,Hitter,20.79671457905544,Elite Youth,OF,0,AA,88.62048417132216,2.8245026504694306,347.2648685356811
54,814490,Ethan Pecko,Pitcher,23.121149897330596,Standard Prospect,P,0,AAA,148.06040023654643,1.4910441205096683,344.76274554217366
55,811310,Nigel Belgrave,Pitcher,23.408624229979466,Standard Prospect,P,0,AAA,160.0,1.3050329015880415,341.7715225778304
56,703155,Lazaro Montes,Hitter,20.960985626283367,Elite Youth,OF,0,AA,91.1008,2.6008550764673823,340.9714788655253
57,691947,Ronan Kopp,Pitcher,23.197809719370294,Standard Prospect,P,0,AAA,150.61085898123326,1.4391241797879024,340.0452265208927
58,694346,Trey Gibson,Pitcher,23.392197125256672,Standard Prospect,P,0,AAA,160.0,1.3150410260891505,337.72015575383654
59,828511,Michael Caldon,Pitcher,22.98425735797399,Premium Prospect,P,0,AAA,136.13171977329972,1.5882074479267692,335.90696534982663
60,806212,Stone Russell,Hitter,21.308692676249144,Premium Prospect,C,0,AAA,87.8271186440678,2.8691299122659664,332.6057921339401
61,691776,Josh Hartle,Pitcher,22.543463381245722,Premium Prospect,P,0,AA,154.74439832166627,1.439655005555622,332.44702169881725
62,701195,Manuel Castro,Pitcher,23.411362080766597,Standard Prospect,P,0,AAA,159.0701038674033,1.3033719031029203,330.2013137994196
63,699302,Héctor Rodríguez,Hitter,21.57700205338809,Premium Prospect,OF,0,AAA,87.68239520958083,2.5162723335495505,328.36371749977263
64,800449,Thomas Sosa,Hitter,20.720054757015742,Elite Youth,OF,0,AA,84.56431784107946,2.93507558956817,322.9127670654947
65,800522,Josue Briceño,Hitter,21.0403832991102,Premium Prospect,C,0,AA,91.21989189189189,2.498940937781058,322.4217405260516
66,702222,Justin Crawford,Hitter,21.73579739904175,Premium Prospect,OF,0,AAA,90.9822033898305,2.3276000289014487,322.3617056713907
67,702253,Cam Collier,Hitter,20.88158795345654,Elite Youth,3B,0,AA,87.10499243570348,2.7067444219329286,319.05225422123425
68,805808,Kevin McGonigle,Hitter,21.138945927446954,Premium Prospect,SS,0,AA,90.80269081500647,2.3777395794873293,316.54698326328486
69,808129,Juan Flores,Hitter,19.64955509924709,Elite Youth,C,0,A+,81.6921052631579,3.591144407598901,316.3430473548599
70,694224,Gabriel Gonzalez,Hitter,21.760438056125942,Premium Prospect,RF,0,AAA,90.22425806451614,2.2995758022363155,315.9079602992076
71,701590,Khal Stephen,Pitcher,22.798083504449007,Premium Prospect,P,0,AA,160.0,1.2733117626379045,311.34096820949895
72,800325,Luis Lara,Hitter,20.889801505817932,Elite Youth,CF,0,AA,87.0441767068273,2.6956016422909452,310.44656692130394
73,694795,Josh Ekness,Pitcher,23.665982203969882,Standard Prospect,P,0,AAA,160.0,1.1573381728523349,303.8690719551917
74,702540,Mikey Romero,Hitter,21.738535249828885,Premium Prospect,SS,0,AAA,87.0471052631579,2.3244700205369857,299.0626588198888
75,815148,Nestor German,Pitcher,23.613963039014372,Standard Prospect,P,0,AAA,158.22691193241818,1.1858547155793961,298.39136639868667
76,806983,Yophery Rodriguez,Hitter,19.84120465434634,Elite Youth,CF,0,A+,83.31311827956989,3.2591558496727373,298.3744807842523
77,815352,Caleb Bonemer,Hitter,20.008213552361397,Elite Youth,SS,0,A+,86.7,2.9939495677137913,295.0176204168124
78,702518,Jett Williams,Hitter,21.930184804928132,Premium Prospect,SS,0,AAA,91.36746411483253,2.11517886027014,293.8557197956571
79,695076,Rhett Lowder,Pitcher,23.586584531143053,Standard Prospect,P,0,AAA,154.23041797752808,1.201128598961999,292.5175817205993
80,703151,William Bergolla,Hitter,20.966461327857633,Elite Youth,2B,0,AA,86.03661971830986,2.5937005812249074,292.135625666474
81,694819,Jacob Misiorowski,Pitcher,23.515400410677618,Standard Prospect,P,0,AAA,149.16311775700936,1.241715056539207,289.8253423558493
82,822067,A.J. Causey,Pitcher,22.885694729637233,Premium Prospect,P,0,AA,160.0,1.2203463503771568,289.14671644878683
83,691946,George Klassen,Pitcher,23.698836413415467,Standard Prospect,P,0,AAA,159.18246129032258,1.1396625105373686,288.9878329995082
84,805999,A.J. Ewing,Hitter,21.16084873374401,Premium Prospect,SS,0,AA,88.33881807647741,2.3515805119197912,285.4651553707231
85,691414,Yorman Gómez,Pitcher,22.910335386721425,Premium Prospect,P,0,AA,157.6600914360143,1.2058234188338177,284.99578793041957
86,696149,Bubba Chandler,Pitcher,23.066392881587955,Standard Prospect,P,0,AAA,122.57788483146066,1.5292122368479655,283.60190253720526
87,805796,Arjun Nimmala,Hitter,19.978097193702943,Elite Youth,SS,0,A+,83.24639380530974,3.0401989501706255,283.3112663517988
88,702571,Jacob Miller,Pitcher,22.16290212183436,Premium Prospect,P,0,AA,102.20387693425249,1.9854876802425436,281.07553062272723
