rank,mlb_player_id,name,fv,fg_year,fg_score,v4_score,v5_score,v7_score
1,815908,Jesús Made,65.0,2025.0,99.58350495674861,100.0,71.59527828411557,96.95128030678586
2,804606,Konnor Griffin,65.0,2025.0,100.0,74.93303265194862,47.65780627058975,84.73899368783842
3,806964,Sebastian Walcott,60.0,2025.0,84.58510687903336,50.77836172176502,45.299397906679864,67.13383791889068
4,829035,Andrew Salas,45.0,2025.0,34.262437566936704,93.36345023267249,100.0,64.47659887653735
5,805808,Kevin McGonigle,60.0,2025.0,88.42509957435124,43.59099372476012,24.50942256954706,64.09988953403438
6,815888,Leo De Vries,55.0,2025.0,61.88612750240286,67.8064391956459,57.465690568593196,63.81220848631911
7,694212,Samuel Basallo,60.0,2025.0,83.30587214060141,46.211307586305466,24.08203750656781,62.54566285547968
8,806068,Colt Emerson,55.0,2025.0,66.41951577646574,56.545927502941076,34.974282071932734,59.32555709660257
9,703601,Max Clark,60.0,2025.0,81.51173972264178,36.95833694810674,27.99264073511575,58.338468714075155
10,805811,Bryce Eldridge,55.0,2025.0,66.81770333653715,51.72510214198232,26.48832344693654,56.74772486975515
11,806957,Alfredo Duno,55.0,2025.0,63.478877770149666,41.58533572066093,42.44864898936688,52.6184380722759
12,821273,Edward Florentino,50.0,2025.0,44.0226096663463,58.447674334035824,59.14743197904766,51.30511776469224
13,815929,Jhonny Level,45.0,2025.0,35.71559335438694,64.31855228710444,68.59266448969449,50.4444840410047
14,805805,Walker Jenkins,50.0,2025.0,51.32729191267336,52.27636750882279,29.720751602675357,49.546268120133334
15,814307,Zyhir Hope,50.0,2025.0,60.59545066593437,39.81905319457233,29.251193771292073,49.15046598792532
16,691783,Jordan Lawlar,60.0,2024.0,80.4178681312646,19.935092292011568,8.755364801318464,49.05850746256878
17,800543,Josue De Paula,55.0,2025.0,58.43745714678018,40.78735369139707,33.586170262259486,48.892287076174874
18,821136,Handelfry Encarnacion,,,25.0,71.70015456542234,73.36366455131909,48.51642828130085
19,821181,Juneiker Caceres,40.0,2025.0,21.563915913771798,73.6823180240197,79.88191647957412,48.24307681445119
20,808265,Franklin Arias,50.0,2025.0,54.11460483317314,39.639861267006935,40.08934280215748,46.92218120360509
21,815896,Emil Morales,45.0,2025.0,36.8209072085679,57.18595635457656,56.15207055696539,46.900043201811116
22,815894,Jorge Quintana,40.0,2025.0,25.15675768227379,67.35071080945599,69.25011083628706,46.44367424854799
23,806146,George Lombard Jr.,55.0,2025.0,59.279600933681174,33.56918572613521,33.70800731566912,46.438275488861585
24,806956,Ethan Salas,50.0,2025.0,43.70680582177675,47.919818058618354,49.3958834549993,45.96091847983564
25,821041,Roldy Brito,,,25.0,64.95054636508478,70.30516560099295,45.510735106133204
26,802139,JJ Wetherholt,55.0,2025.0,69.44482586846081,21.3419103800169,9.393723168937115,44.198549403130876
27,828589,Max Durrington,,,25.0,61.61003401518153,65.40561163414846,43.68457476948747
28,808234,Eduardo Quintero,50.0,2025.0,49.576639708911166,37.23524515257666,37.439151588531836,43.42633307433943
29,805796,Arjun Nimmala,50.0,2025.0,47.640624303171776,38.3436862242218,38.38520207957205,42.996306849231814
30,806988,Welbyn Francisca,45.0,2025.0,38.42967642455032,47.22210452807156,48.68391365864962,42.97207138936875
31,700246,Carson Williams,55.0,2025.0,61.74882150212826,26.28596161165,12.71215388553274,42.660010784277404
32,806953,Eduardo Tait,45.0,2025.0,32.232596484964986,52.174720302831645,54.15499088462147,42.4016854520773
33,821100,Justin Gonzales,,,25.0,59.015574144271575,62.06834429127647,42.31306408683628
34,691785,Marcelo Mayer,60.0,2024.0,68.72168068103804,17.037854299090675,10.20186980547879,42.19616904070317
35,821379,Juan Mateo,35.0,2025.0,13.350725415350817,70.51815806312462,72.44639626510362,42.12726555943562
36,815931,Ruben Castillo,40.0,2025.0,20.5592932857339,61.309556490819496,65.27106167610654,41.33057540680541
37,815520,Braylon Payne,45.0,2025.0,30.00594996567349,51.515701366974234,53.91838211079715,41.00109374070615
38,694197,Angel Genao,50.0,2025.0,55.32289811890705,27.56518511532319,21.826299495012034,40.870153055084
39,800522,Josue Briceño,50.0,2025.0,46.95638245228616,36.99260566237055,25.419325044097608,40.81716599550106
40,806965,Starlyn Caba,45.0,2025.0,37.402169463133326,41.91645993280459,41.03821341097168,39.571490045785666
41,815154,Slade Caldwell,40.0,2025.0,29.19126733488947,48.72303043528491,51.313726420245565,39.21621848358326
42,815394,Theo Gillen,45.0,2025.0,40.175751805574635,37.08989452203978,37.51395250835285,38.67522896243852
43,702518,Jett Williams,50.0,2025.0,48.283674310037085,31.44308395802902,17.57977451652061,38.47704818988221
44,815195,Wilder Dalis,,,25.0,50.76563170194805,52.734023052401504,38.07965498601938
45,691181,Emmanuel Rodriguez,50.0,2025.0,50.803240422902654,28.684004323900254,11.373811011433453,38.01260304215478
46,826928,Owen Carey,,,25.0,50.37007020318234,52.34151674585935,37.88217975585888
47,815380,Luke Dickerson,45.0,2025.0,39.853082548400394,35.877100276994966,35.26435919106584,37.80381730410477
48,703197,Michael Arroyo,50.0,2025.0,47.899217355485376,27.995337078469362,25.98827179777829,37.746570688908264
49,804109,Aiva Arquette,50.0,2025.0,56.897340876012635,18.780011127270964,17.471398879901688,37.70781477690487
50,815924,Eduardo Beltre,40.0,2025.0,18.691930907593026,56.6471781858982,56.14712366112254,37.61954909426805
51,806071,Jonny Farmelo,50.0,2025.0,49.2036248798572,25.88109371939368,24.734648730898957,37.427714800775966
52,808153,Luis Merejo,,,25.0,49.201782919620996,50.13814585949071,37.194527753797466
53,683953,Travis Bazzana,50.0,2025.0,58.54272511327749,16.964000882286793,9.197182160562203,36.97668112560968
54,807080,Eric Hartman,,,25.0,48.627840409061534,49.88490634356735,36.93962679798135
55,808307,Kleyver Salazar,,,25.0,48.34863310929649,47.03226206876374,36.542679450594974
56,825582,Nate George,40.0,2025.0,21.30532297130304,52.16553645834856,49.795383583985306,36.49841442738948
57,821262,José Anderson,40.0,2025.0,15.451508032404229,57.1416830082002,58.6797495202992,36.45040217151212
58,821150,Enddy Azocar,35.0,2025.0,9.734999258547303,62.276278416801865,64.77386824123894,36.2553978201183
59,806967,Brailer Guerrero,45.0,2025.0,23.138358780722232,49.05766532240381,50.43009669485205,36.23525518880784
60,703155,Lazaro Montes,45.0,2025.0,32.22115433200604,42.49134762038876,26.425208246855703,35.74963703884409
61,806198,Cooper Pratt,50.0,2025.0,46.052450940546485,25.330293352284787,24.320686535594813,35.59041146474664
62,806981,Luis Almeyda,,,25.0,45.85700572556344,46.80597675562318,35.52339996578769
63,701807,Carson Benge,50.0,2025.0,51.09616001647673,22.20958588165621,10.753158884895774,35.507230249390425
64,815902,Yandel Ricardo,40.0,2025.0,14.060140052176301,56.98049395657942,56.17785355319542,35.44005296403947
65,807957,Yassel Soler,40.0,2025.0,27.49324915556776,42.36514073486615,42.55756315185068,34.94843718691541
66,702544,Jacob Reimer,50.0,2025.0,44.08439747356859,26.874295078965748,20.025663240458393,34.794483092416435
67,702693,Jaison Chourio,45.0,2025.0,35.962744336125226,33.112779674838116,33.36044157521593,34.562528195519455
68,806985,Yoeilin Cespedes,45.0,2025.0,31.928234765893176,36.94511127881862,36.637021957727626,34.4058640902468
69,808288,Luis Lameda,,,25.0,43.673711347338475,43.31446282473408,34.3009308214088
70,702222,Justin Crawford,45.0,2025.0,36.333470685157224,35.48534852057705,19.329966393378196,34.29387139014725
71,808041,Abraham Nunez,,,25.0,43.28635924366317,43.137470292054935,34.12829072667076
72,703185,Nelson Rada,45.0,2025.0,27.010389564739807,42.334427407774136,36.870427453052294,34.126008490784784
73,814297,Edgleen Perez,40.0,2025.0,18.099226582452285,49.49666250756935,49.5612226287512,33.804400557129
