rank,mlb_player_id,name,fv,fg_year,fg_score,v4_score,v5_score,v7_score
1,815908,Jesús Made,65.0,2025.0,99.58350495674861,100.0,71.59527828411557,96.86798129813558
2,804606,Konnor Griffin,65.0,2025.0,100.0,74.93303265194862,47.65780627058975,89.7523871574487
3,806964,Sebastian Walcott,60.0,2025.0,84.58510687903336,50.77836172176502,45.299397906679864,73.89518695034434
4,805808,Kevin McGonigle,60.0,2025.0,88.42509957435124,43.59099372476012,24.50942256954706,73.0667107039526
5,694212,Samuel Basallo,60.0,2025.0,83.30587214060141,46.211307586305466,24.08203750656781,69.96457576633885
6,703601,Max Clark,60.0,2025.0,81.51173972264178,36.95833694810674,27.99264073511575,67.24914926898217
7,815888,Leo De Vries,55.0,2025.0,61.88612750240286,67.8064391956459,57.465690568593196,62.6281461476705
8,806068,Colt Emerson,55.0,2025.0,66.41951577646574,56.545927502941076,34.974282071932734,61.300274751307505
9,691783,Jordan Lawlar,60.0,2024.0,80.4178681312646,19.935092292011568,8.755364801318464,61.15506263041937
10,805811,Bryce Eldridge,55.0,2025.0,66.81770333653715,51.72510214198232,26.48832344693654,59.76624510866612
11,806957,Alfredo Duno,55.0,2025.0,63.478877770149666,41.58533572066093,42.44864898936688,56.99714648217364
12,802139,JJ Wetherholt,55.0,2025.0,69.44482586846081,21.3419103800169,9.393723168937115,53.81913250081965
13,814307,Zyhir Hope,50.0,2025.0,60.59545066593437,39.81905319457233,29.251193771292073,53.30574548219773
14,829035,Andrew Salas,45.0,2025.0,34.262437566936704,93.36345023267249,100.0,52.656396343390185
15,691785,Marcelo Mayer,60.0,2024.0,68.72168068103804,17.037854299090675,10.20186980547879,52.53293431709264
16,800543,Josue De Paula,55.0,2025.0,58.43745714678018,40.78735369139707,33.586170262259486,52.42230776725149
17,806146,George Lombard Jr.,55.0,2025.0,59.279600933681174,33.56918572613521,33.70800731566912,51.580358530370766
18,808265,Franklin Arias,50.0,2025.0,54.11460483317314,39.639861267006935,40.08934280215748,49.817129916838326
19,700246,Carson Williams,55.0,2025.0,61.74882150212826,26.28596161165,12.71215388553274,49.75258276237305
20,805805,Walker Jenkins,50.0,2025.0,51.32729191267336,52.27636750882279,29.720751602675357,49.35645300090344
21,821273,Edward Florentino,50.0,2025.0,44.0226096663463,58.447674334035824,59.14743197904766,48.42010483115433
22,694197,Angel Genao,50.0,2025.0,55.32289811890705,27.56518511532319,21.826299495012034,46.421695655800775
23,808234,Eduardo Quintero,50.0,2025.0,49.576639708911166,37.23524515257666,37.439151588531836,45.89461198560633
24,804109,Aiva Arquette,50.0,2025.0,56.897340876012635,18.780011127270964,17.471398879901688,45.3312807266532
25,683953,Travis Bazzana,50.0,2025.0,58.54272511327749,16.964000882286793,9.197182160562203,45.292425971807816
26,806956,Ethan Salas,50.0,2025.0,43.70680582177675,47.919818058618354,49.3958834549993,45.11831603246732
27,805796,Arjun Nimmala,50.0,2025.0,47.640624303171776,38.3436862242218,38.38520207957205,44.855694465021806
28,815929,Jhonny Level,45.0,2025.0,35.71559335438694,64.31855228710444,68.59266448969449,44.72389225446119
29,815896,Emil Morales,45.0,2025.0,36.8209072085679,57.18595635457656,56.15207055696539,42.827033372609385
30,800522,Josue Briceño,50.0,2025.0,46.95638245228616,36.99260566237055,25.419325044097608,42.80992135348417
31,691181,Emmanuel Rodriguez,50.0,2025.0,50.803240422902654,28.684004323900254,11.373811011433453,42.43645026195525
32,806071,Jonny Farmelo,50.0,2025.0,49.2036248798572,25.88109371939368,24.734648730898957,42.09222103286867
33,702518,Jett Williams,50.0,2025.0,48.283674310037085,31.44308395802902,17.57977451652061,41.84516626028382
34,703197,Michael Arroyo,50.0,2025.0,47.899217355485376,27.995337078469362,25.98827179777829,41.72734674431146
35,701807,Carson Benge,50.0,2025.0,51.09616001647673,22.20958588165621,10.753158884895774,41.28454507635453
36,806988,Welbyn Francisca,45.0,2025.0,38.42967642455032,47.22210452807156,48.68391365864962,41.2135857686645
37,682634,Kevin Alcántara,50.0,2025.0,51.65453799258548,16.562771895518445,8.611257371913347,40.33185671110486
38,806198,Cooper Pratt,50.0,2025.0,46.052450940546485,25.330293352284787,24.320686535594813,39.73484298239897
39,691003,Tre' Morgan,50.0,2025.0,49.79632936976521,18.378664298388085,8.705279639726543,39.40369138248592
40,815394,Theo Gillen,45.0,2025.0,40.175751805574635,37.08989452203978,37.51395250835285,39.29240041914549
41,821136,Handelfry Encarnacion,,,25.0,71.70015456542234,73.36366455131909,39.17639736821638
42,682868,Bryan Ramos,50.0,2024.0,50.55608957847042,12.981173654363928,7.510736070326623,38.73657104283475
