MLB_ID,Name,Organization,Position,Rank,Has_2025_PBP,Has_2025_Pitch,Has_2024_PBP,Has_2024_Pitch,Has_Any_PBP,Has_Any_Pitch
700246,Carson Williams,TBR,SS,31,False,False,False,False,False,False
682634,Kevin Alcántara,CHC,CF,78,False,False,False,False,False,False
695600,Carter Jensen,KCR,C,118,False,False,False,False,False,False
702679,Demetrio Crisantes,ARI,2B,146,False,False,False,False,False,False
690997,Nolan McLean,NYM,SP,162,False,False,False,False,False,False
690976,Alex Freeland,LAD,SS,163,False,False,False,False,False,False
806994,Luis Guanipa,ATL,CF,222,False,False,False,False,False,False
691373,Jhostynxon Garcia,BOS,CF,230,False,False,False,False,False,False
805951,Boston Baro,NYM,SS,281,False,False,False,False,False,False
692478,Victor Arias,TOR,CF,340,False,False,False,False,False,False
699625,Jimmy Crooks,STL,C,388,False,False,False,False,False,False
703680,Brandon Compton,MIA,LF,442,False,False,False,False,False,False
822676,Alex Lodise,ATL,SS,456,False,False,False,False,False,False
703143,Cristhian Vaquero,WSN,CF,515,False,False,False,False,False,False
806233,Luke Stevenson,SEA,C,729,False,False,False,False,False,False
827517,Kyle Lodise,CHW,SS,766,False,False,False,False,False,False
802504,Myles Naylor,ATH,3B,793,False,False,False,False,False,False
642016,Daniel Robert,PHI,DH,880,False,False,False,False,False,False
663795,Justin Hagenman,NYM,SP,893,False,False,False,False,False,False
669391,Owen White,CHW,SP,919,False,False,False,False,False,False
674384,Eduarniel Núñez,ATH,DH,941,False,False,False,False,False,False
675650,Michael Mercado,PHI,RP,945,False,False,False,False,False,False
678316,Omar Cruz,SDP,DH,969,False,False,False,False,False,False
679883,Luinder Avila,KCR,SP,974,False,False,False,False,False,False
679922,Carlos Duran,ATH,DH,976,False,False,False,False,False,False
681895,Evan Sisk,PIT,DH,1001,False,False,False,False,False,False
669620,Brady Basso,ATH,SP,1021,False,False,False,False,False,False
686972,Cole Waites,SFG,DH,1028,False,False,False,False,False,False
687849,Zak Kent,CLE,DH,1031,False,False,False,False,False,False
671162,Connor Thomas,MIL,RP,1038,False,False,False,False,False,False
686751,Seth Johnson,PHI,DH,1045,False,False,False,False,False,False
687424,Anthony Maldonado,ATH,DH,1047,False,False,False,False,False,False
669704,Kade Strowd,BAL,DH,1053,False,False,False,False,False,False
668873,Caleb Kilian,CHC,RP,1055,False,False,False,False,False,False
687377,Orlando Ribalta,WSN,DH,1060,False,False,False,False,False,False
686796,Blake Walston,ARI,SP,1066,False,False,False,False,False,False
687847,Marc Church,TEX,DH,1068,False,False,False,False,False,False
691951,Sam Aldegheri,LAA,SP,1073,False,False,False,False,False,False
686790,Trevor McDonald,SFG,SP,1074,False,False,False,False,False,False
682790,Wikelman González,CHW,RP,1076,False,False,False,False,False,False
676917,Cade Cavalli,WSN,SP,1087,False,False,False,False,False,False
690925,Clayton Beeter,WSN,DH,1093,False,False,False,False,False,False
669165,Kyle Hurt,LAD,RP,1096,False,False,False,False,False,False
671109,Jake Eder,WSN,SP,1104,False,False,False,False,False,False
683175,Connor Phillips,CIN,RP,1110,False,False,False,False,False,False
687003,Brian Van Belle,TBR,SP,1116,False,False,False,False,False,False
690953,Mick Abel,MIN,SP,1120,False,False,False,False,False,False
691172,Yosver Zulueta,CIN,DH,1122,False,False,False,False,False,False
668716,Noah Murdock,KCR,DH,1132,False,False,False,False,False,False
691441,Cristian Mena,ARI,SP,1137,False,False,False,False,False,False
700270,Yilber Díaz,ARI,DH,1139,False,False,False,False,False,False
689981,River Ryan,LAD,SP,1141,False,False,False,False,False,False
701552,Andre Granillo,STL,DH,1144,False,False,False,False,False,False
687287,Patrick Monteverde,MIA,SP,1145,False,False,False,False,False,False
694851,Andrew Hoffmann,ARI,DH,1149,False,False,False,False,False,False
688107,Robert Gasser,MIL,SP,1152,False,False,False,False,False,False
681066,Ky Bush,CHW,SP,1153,False,False,False,False,False,False
809763,Kaeden Kent,NYY,SS,1156,False,False,False,False,False,False
694646,Chayce McDermott,BAL,SP,1158,False,False,False,False,False,False
696149,Bubba Chandler,PIT,SP,1159,False,False,False,False,False,False
697812,Joe Rock,TBR,SP,1169,False,False,False,False,False,False
687924,Julian Aguiar,CIN,SP,1170,False,False,False,False,False,False
680891,Jack Neely,CHC,DH,1178,False,False,False,False,False,False
680744,Ty Madden,DET,SP,1183,False,False,False,False,False,False
692230,Carlos Rodriguez,MIL,SP,1188,False,False,False,False,False,False
695534,Chase Petty,CIN,SP,1189,False,False,False,False,False,False
696131,Mason Black,SFG,DH,1190,False,False,False,False,False,False
701519,Travis Adams,MIN,SP,1191,False,False,False,False,False,False
680684,Gunnar Hoglund,ATH,SP,1203,False,False,False,False,False,False
701656,Logan Henderson,MIL,SP,1204,False,False,False,False,False,False
687209,Zach Maxwell,CIN,DH,1208,False,False,False,False,False,False
687223,Carson Palmquist,COL,SP,1209,False,False,False,False,False,False
699013,Esmerlyn Valdez,PIT,OF,1210,False,False,False,False,False,False
687931,Carson Whisenhunt,SFG,SP,1212,False,False,False,False,False,False
694918,Blade Tidwell,SFG,SP,1214,False,False,False,False,False,False
686930,Mason Barnett,ATH,SP,1215,False,False,False,False,False,False
680729,Garrett McDaniels,LAD,DH,1216,False,False,False,False,False,False
800049,Adam Mazur,MIA,SP,1221,False,False,False,False,False,False
802419,Thomas Harrington,PIT,SP,1222,False,False,False,False,False,False
814005,Jake Bloss,TOR,SP,1224,False,False,False,False,False,False
684974,Craig Yoho,MIL,DH,1225,False,False,False,False,False,False
694462,Hurston Waldrep,ATL,SP,1228,False,False,False,False,False,False
687075,Brandon Sproat,NYM,SP,1232,False,False,False,False,False,False
695076,Rhett Lowder,CIN,SP,1233,False,False,False,False,False,False
702752,Jonathan Pintaro,NYM,DH,1234,False,False,False,False,False,False
676012,Gerald Ogando,BAL,DH,1260,False,False,False,False,False,False
682897,Steven Pérez,CLE,DH,1307,False,False,False,False,False,False
683742,Jose Franco,CIN,DH,1314,False,False,False,False,False,False
671936,Adam Macko,TOR,RP,1363,False,False,False,False,False,False
691669,Gabriel Sosa,SEA,DH,1368,False,False,False,False,False,False
691828,Sem Robberse,STL,RP,1371,False,False,False,False,False,False
686560,Gavin Collyer,TEX,DH,1373,False,False,False,False,False,False
