prospect_id,data_year,name,position,fangraphs_id,target,target_label,fangraphs_fv,predicted,correct,predicted_label
8171,2025,Jesús Made,SS,sa3024108,3,All-Star,65,2,False,Regular
8170,2025,Konnor Griffin,SS,sa3065496,3,All-Star,65,2,False,Regular
8172,2025,Kevin McGonigle,2B,sa3022895,3,All-Star,60,2,False,Regular
8176,2025,Max Clark,CF,sa3022683,3,All-Star,60,0,False,Bench
8173,2025,Samuel Basallo,C,28824,3,All-Star,60,1,False,Part-Time
8175,2025,Sebastian Walcott,SS,sa3021069,3,All-Star,60,2,False,Regular
8183,2025,Carson Williams,SS,30038,2,Regular,55,1,False,Part-Time
8177,2025,Colt Emerson,SS,sa3022923,2,Regular,55,0,False,Bench
8190,2025,Ethan Holliday,3B,sa3069149,2,Regular,55,1,False,Part-Time
8178,2025,JJ Wetherholt,2B,sa3025154,2,Regular,55,1,False,Part-Time
8207,2025,Aiva Arquette,SS,sa3026235,2,Regular,50,1,False,Part-Time
8223,2025,Alex Freeland,SS,31665,2,Regular,50,1,False,Part-Time
8215,2025,Braden Montgomery,RF,sa3038253,2,Regular,50,1,False,Part-Time
8228,2025,Carson Benge,CF,sa3025452,2,Regular,50,0,False,Bench
8211,2025,Carter Jensen,C,29478,2,Regular,50,1,False,Part-Time
8217,2025,Chase DeLauter,RF,sa3021053,2,Regular,50,1,False,Part-Time
8230,2025,Cooper Ingle,C,sa3023069,2,Regular,50,0,False,Bench
8225,2025,Cooper Pratt,SS,sa3022867,2,Regular,50,0,False,Bench
8196,2025,Eli Willits,SS,sa3069164,2,Regular,50,1,False,Part-Time
8218,2025,Ethan Salas,C,sa3020881,2,Regular,50,0,False,Bench
8244,2025,Felnin Celesten,SS,sa3023381,2,Regular,50,1,False,Part-Time
8194,2025,Franklin Arias,SS,sa3021845,2,Regular,50,0,False,Bench
8212,2025,Harry Ford,C,29958,2,Regular,50,0,False,Bench
8232,2025,Jacob Reimer,3B,sa3020416,2,Regular,50,0,False,Bench
8258,2025,Jeferson Quero,C,sa3015407,2,Regular,50,1,False,Part-Time
8224,2025,Jefferson Rojas,SS,sa3018571,2,Regular,50,0,False,Bench
8238,2025,Jett Williams,CF,sa3020134,2,Regular,50,0,False,Bench
8246,2025,Jimmy Crooks,C,31354,2,Regular,50,0,False,Bench
8208,2025,Joe Mack,C,sa3017374,2,Regular,50,0,False,Bench
8197,2025,Josuar De Jesus Gonzalez,SS,sa3067675,2,Regular,50,1,False,Part-Time
8200,2025,Josue Briceño,C,sa3018584,2,Regular,50,1,False,Part-Time
8245,2025,Kayson Cunningham,2B,sa3069148,2,Regular,50,0,False,Bench
8213,2025,Kevin Alcántara,CF,25971,2,Regular,50,1,False,Part-Time
8209,2025,Leonardo Bernal,C,sa3015773,2,Regular,50,0,False,Bench
8198,2025,Luis Peña,SS,sa3024134,2,Regular,50,1,False,Part-Time
8240,2025,Rainiel Rodriguez,C,sa3023987,2,Regular,50,0,False,Bench
8229,2025,Ryan Waldschmidt,LF,sa3025261,2,Regular,50,1,False,Part-Time
8210,2025,Thayron Liranzo,C,sa3015790,2,Regular,50,1,False,Part-Time
8247,2025,Tre' Morgan,1B,sa3022919,2,Regular,50,0,False,Bench
8199,2025,Walker Jenkins,LF,sa3022894,2,Regular,50,1,False,Part-Time
8359,2025,A.J. Ewing,CF,sa3022963,1,Part-Time,45,0,False,Bench
8337,2025,Aroon Escobar,2B,sa3018463,1,Part-Time,45,0,False,Bench
8311,2025,Asbel Gonzalez,CF,sa3021639,1,Part-Time,45,0,False,Bench
8267,2025,Blake Mitchell,C,sa3022756,1,Part-Time,45,0,False,Bench
8301,2025,Brayden Taylor,3B,sa3022921,1,Part-Time,45,0,False,Bench
8279,2025,Brice Matthews,2B,33280,1,Part-Time,45,0,False,Bench
8465,2025,Caden Bodine,C,sa3027305,1,Part-Time,45,0,False,Bench
8312,2025,Caleb Bonemer,3B,sa3067043,1,Part-Time,45,0,False,Bench
8466,2025,Cam Cannarella,CF,sa3028360,1,Part-Time,45,0,False,Bench
8336,2025,Cam Collier,3B,sa3020131,1,Part-Time,45,2,False,Regular
8271,2025,Charlie Condon,3B,sa3025257,1,Part-Time,45,0,False,Bench
8331,2025,Christian Franklin,CF,sa3017510,1,Part-Time,45,0,False,Bench
8493,2025,Cooper Kinney,2B,sa3017793,1,Part-Time,45,0,False,Bench
8392,2025,Cris Rodriguez,RF,sa3066593,1,Part-Time,45,2,False,Regular
8343,2025,Cristopher Polanco,SS,sa3067125,1,Part-Time,45,0,False,Bench
8356,2025,Demetrio Crisantes,2B,sa3021051,1,Part-Time,45,0,False,Bench
8520,2025,Dominic Keegan,1B,sa3020194,1,Part-Time,45,2,False,Regular
8393,2025,Dorian Soto,SS,sa3067678,1,Part-Time,45,0,False,Bench
8332,2025,Drew Gilbert,CF,31545,1,Part-Time,45,0,False,Bench
8338,2025,Dylan Beavers,CF,31695,1,Part-Time,45,0,False,Bench
8300,2025,Eduardo Tait,C,sa3022162,1,Part-Time,45,2,False,Regular
8315,2025,Edwin Arroyo,SS,sa3017626,1,Part-Time,45,0,False,Bench
8405,2025,Emil Morales,SS,sa3023887,1,Part-Time,45,2,False,Regular
8365,2025,Enrique Bradfield Jr.,CF,sa3022917,1,Part-Time,45,0,False,Bench
8329,2025,Ethan Conrad,CF,sa3029266,1,Part-Time,45,0,False,Bench
8383,2025,Gabriel Gonzalez,RF,sa3015723,1,Part-Time,45,0,False,Bench
8378,2025,Gabriel Rodriguez,SS,sa3024645,1,Part-Time,45,0,False,Bench
8310,2025,Gavin Kilen,SS,sa3035353,1,Part-Time,45,0,False,Bench
8437,2025,Griff O'Ferrall,SS,sa3025409,1,Part-Time,45,0,False,Bench
8409,2025,Jaison Chourio,CF,sa3018399,1,Part-Time,45,0,False,Bench
8491,2025,James Tibbs III,RF,sa3025333,1,Part-Time,45,0,False,Bench
8355,2025,James Triantos,2B,sa3017295,1,Part-Time,45,0,False,Bench
8273,2025,Jansel Luis,SS,sa3018508,1,Part-Time,45,2,False,Regular
