rank,name,mlb_id,collection_type
6,Samuel Basallo,694212,FULL
7,Bryce Eldridge,805811,FULL
13,Nolan McLean,690997,FULL
20,Payton Tolle,801139,FULL
21,Bubba Chandler,696149,FULL
22,Trey Yesavage,702056,FULL
23,Jonah Tong,804636,FULL
25,Carter Jensen,695600,FULL
26,Thomas White,806258,FULL
27,Connelly Early,813349,FULL
1,Konnor Griffin,804606,PITCH_ONLY
2,Kevin McGonigle,805808,PITCH_ONLY
3,Jesús Made,815908,PITCH_ONLY
4,Leo De Vries,815888,PITCH_ONLY
8,JJ Wetherholt,802139,PITCH_ONLY
10,Walker Jenkins,805805,PITCH_ONLY
11,Max Clark,703601,PITCH_ONLY
12,Aidan Miller,805795,PITCH_ONLY
