csv_name,db_name,mlb_player_id,prospect_id
Konnor Griffin,Konnor Griffin,804606,8170
Kevin McGonigle,Kevin McGonigle,805808,8172
Leo De Vries,Leo De Vries,815888,8179
Sebastian Walcott,Sebastian Walcott,806964,8175
Samuel Basallo,Samuel Basallo,694212,8173
Bryce Eldridge,Bryce Eldridge,805811,8185
JJ Wetherholt,JJ Wetherholt,802139,8178
Colt Emerson,Colt Emerson,806068,8177
Walker Jenkins,Walker Jenkins,805805,8199
Max Clark,Max Clark,703601,8176
Aidan Miller,Aidan Miller,805795,8180
Nolan McLean,Nolan McLean,690997,8181
Sal Stewart,Sal Stewart,701398,8295
Eduardo Quintero,Eduardo Quintero,808234,8241
Rainiel Rodriguez,Rainiel Rodriguez,823787,8240
Jett Williams,Jett Williams,702518,8238
Edward Florentino,Edward Florentino,821273,8243
Payton Tolle,Payton Tolle,801139,8227
Bubba Chandler,Bubba Chandler,696149,8174
Trey Yesavage,Trey Yesavage,702056,8204
Jonah Tong,Jonah Tong,804636,8202
Joshua Baez,Joshua Baez,695491,8637
Carter Jensen,Carter Jensen,695600,8211
Thomas White,Thomas White,806258,8187
Connelly Early,Connelly Early,813349,8326
Travis Bazzana,Travis Bazzana,683953,8195
Bryce Rainer,Bryce Rainer,800614,8304
Lazaro Montes,Lazaro Montes,703155,8375
Carson Benge,Carson Benge,701807,8228
Josue De Paula,Josue De Paula,800543,8186
Zyhir Hope,Zyhir Hope,814307,8214
Ryan Waldschmidt,Ryan Waldschmidt,814439,8229
Cooper Pratt,Cooper Pratt,806198,8225
Kaelen Culpepper,Kaelen Culpepper,701785,8283
Andrew Painter,Andrew Painter,691725,8182
Mike Sirota,Mike Sirota,701527,8377
Braden Montgomery,Braden Montgomery,695731,8215
Ralphy Velazquez,Ralphy Velazquez,806252,8519
Ryan Sloan,Ryan Sloan,815549,8403
Brody Hopkins,Brody Hopkins,811315,8233
Michael Arroyo,Michael Arroyo,703197,8231
Dylan Beavers,Dylan Beavers,687637,8338
Harry Ford,Harry Ford,695670,8212
Ryan Clifford,Ryan Clifford,691775,8385
Arjun Nimmala,Arjun Nimmala,805796,8206
Alfredo Duno,Alfredo Duno,806957,8189
Emil Morales,Emil Morales,815896,8405
Caleb Bonemer,Caleb Bonemer,815352,8312
Robby Snelling,Robby Snelling,702281,8219
Eli Willits,Eli Willits,816113,8196
