prospect_id,data_year,name,position,fangraphs_id,target,target_label,fangraphs_fv,hit_future,game_power_future,raw_power_future,speed_future,fielding_future,versatility_future,pitch_sel_future,bat_ctrl_future,hard_hit_pct,hit_upside,power_upside,speed_upside,fielding_upside,frame_grade,athleticism_grade,arm_grade,levers_encoded,total_pa,total_ab,total_hr,total_sb,avg_obp,avg_slg,batting_avg,isolated_power,bb_k_ratio,k_rate,bb_rate,power_speed_number,played_aaa,played_aa,played_a_plus,highest_level,avg_age,fv_change_1yr,hit_change,power_change,speed_change
8390,2022,Termarr Johnson,2B,sa3020214,2,MLB Regular+,55,60.0,55.0,60.0,40.0,45.0,,,,,35.0,30.0,-10.0,15.0,-1.0,2.0,50.0,1,,,,,,,,,,,,0.0,0,0,0,1,17.0,0,0.0,0.0,0.0
8835,2022,Cristian Hernandez,SS,sa3015696,2,MLB Regular+,50,40.0,55.0,60.0,55.0,50.0,,,,,20.0,30.0,0.0,10.0,1.0,1.0,60.0,3,191.0,158.0,5.0,21.0,0.3922722513089005,0.3470314136125654,0.2848101265822785,0.1392405063291139,0.7692307692307693,0.2041884816753926,0.1570680628272251,8.076923076923077,0,0,0,1,17.0,0,0.0,0.0,0.0
8629,2022,Drew Romo,C,27763,2,MLB Regular+,50,50.0,45.0,60.0,30.0,60.0,,,,,20.0,15.0,0.0,15.0,2.0,1.0,70.0,2,339.0,312.0,6.0,23.0,0.3320088495575221,0.4527610619469026,0.3141025641025641,0.125,0.38,0.1474926253687315,0.0560471976401179,9.517241379310343,0,0,0,2,19.0,0,0.0,0.0,0.0
9011,2022,George Valera,RF,22541,2,MLB Regular+,50,40.0,60.0,60.0,50.0,55.0,,,,,10.0,15.0,0.0,5.0,-1.0,,60.0,2,363.0,285.0,19.0,11.0,0.3748484848484848,0.4316666666666666,0.2596491228070175,0.2456140350877192,0.75,0.2424242424242424,0.1818181818181818,13.933333333333334,0,1,1,4,20.0,0,0.0,0.0,0.0
9154,2022,Greg Jones,CF,25448,2,MLB Regular+,50,45.0,50.0,55.0,70.0,45.0,,,,,15.0,20.0,0.0,5.0,1.0,2.0,55.0,2,,,,,,,,,,,,0.0,0,0,0,1,,0,0.0,0.0,0.0
8355,2022,James Triantos,2B,sa3017295,2,MLB Regular+,50,70.0,55.0,50.0,50.0,45.0,,,,,45.0,35.0,0.0,5.0,-1.0,,40.0,2,109.0,101.0,6.0,3.0,0.3057155963302752,0.3882752293577981,0.3267326732673267,0.2673267326732673,0.3888888888888889,0.1651376146788991,0.0642201834862385,4.0,0,0,0,1,18.0,0,0.0,0.0,0.0
9189,2022,Jose Salas,2B,sa3014690,2,MLB Regular+,50,60.0,50.0,55.0,50.0,45.0,,,,,35.0,30.0,-5.0,10.0,2.0,,50.0,2,230.0,200.0,2.0,14.0,0.4160130434782608,0.4319347826086956,0.305,0.1,0.4313725490196078,0.2217391304347826,0.0956521739130434,3.5,0,0,0,2,18.0,0,0.0,0.0,0.0
8213,2022,Kevin Alcántara,CF,25971,2,MLB Regular+,50,40.0,60.0,70.0,50.0,50.0,,,,,10.0,40.0,-5.0,10.0,2.0,2.0,55.0,3,138.0,119.0,5.0,5.0,0.4310289855072463,0.5414782608695652,0.3445378151260504,0.2436974789915966,0.4722222222222222,0.2608695652173913,0.1231884057971014,5.0,0,0,0,1,18.0,0,0.0,0.0,0.0
8719,2022,Miguel Bleis,CF,sa3016834,2,MLB Regular+,50,50.0,60.0,60.0,50.0,50.0,,,,,30.0,35.0,0.0,20.0,1.0,1.0,55.0,3,136.0,119.0,4.0,7.0,0.3873088235294117,0.4865735294117647,0.2521008403361344,0.1680672268907563,0.48,0.1838235294117647,0.088235294117647,5.090909090909091,0,0,0,1,17.0,0,0.0,0.0,0.0
8364,2022,Nick Yorke,2B,27504,2,MLB Regular+,50,60.0,50.0,45.0,45.0,40.0,,,,,25.0,20.0,-5.0,10.0,-1.0,-1.0,30.0,2,442.0,378.0,14.0,13.0,0.3644615384615384,0.4115271493212669,0.3253968253968254,0.1904761904761904,0.7536231884057971,0.1561085972850678,0.1176470588235294,13.48148148148148,0,0,1,3,19.0,0,0.0,0.0,0.0
