prospect_id,data_year,name,position,fangraphs_id,target,target_label,fangraphs_fv,hit_future,game_power_future,raw_power_future,speed_future,fielding_future,hard_hit_pct,hit_upside,power_upside,speed_upside,fielding_upside,frame_grade,athleticism_grade,arm_grade,levers_encoded,total_pa,total_ab,total_hr,total_sb,avg_obp,avg_slg,avg_ops,batting_avg,isolated_power,bb_k_ratio,k_rate,bb_rate,played_aaa,played_aa,played_a_plus,highest_level,avg_age,fv_change_1yr,hit_change,power_change,speed_change,plus_tool_count,offensive_ceiling,defensive_floor,hit_power_ratio,power_speed_number_v2,age_relative_ops,levels_per_year,has_elite_tool,tool_variance,is_power_slugger,is_contact_hitter,is_balanced_star,is_average_hitter
8828,2022,Deyvison De Los Santos,DH,sa3015168,1,Part-Time,45,40.0,60.0,70.0,30.0,40.0,,20.0,35.0,-10.0,20.0,-1.0,,55.0,2,255.0,227.0,8.0,3.0,0.3653215686274509,0.4105803921568627,0.7759019607843137,0.2951541850220264,0.1938325991189427,0.3880597014925373,0.2627450980392157,0.1019607843137254,0,0,0,2,18.0,0,0.0,0.0,0.0,2,60.0,30.0,0.6666666666666666,28.745454545454542,0.0259019607843137,2.0,1,118.75,0,0,0,1
8642,2022,Justin Foscue,1B,27501,1,Part-Time,45,45.0,50.0,60.0,30.0,30.0,,5.0,10.0,0.0,0.0,1.0,-1.0,30.0,1,267.0,229.0,17.0,2.0,0.3289737827715355,0.4605393258426966,0.7895131086142322,0.2751091703056768,0.314410480349345,0.3472222222222222,0.2696629213483146,0.0936329588014981,0,1,1,4,22.0,0,0.0,0.0,0.0,1,50.0,30.0,0.9,25.431578947368426,-0.0104868913857678,1.3333333333333333,1,79.6875,0,0,0,1
9015,2022,Tyler Black,1B,29949,1,Part-Time,45,60.0,45.0,50.0,45.0,45.0,,25.0,5.0,0.0,0.0,,,45.0,1,115.0,87.0,1.0,5.0,0.4435043478260869,0.2805739130434782,0.7240782608695652,0.2413793103448276,0.0804597701149425,0.8387096774193549,0.2695652173913043,0.2260869565217391,0,0,0,2,20.0,0,0.0,0.0,0.0,1,60.0,45.0,1.3333333333333333,27.666666666666668,0.0240782608695652,2.0,1,42.1875,0,0,0,1
8769,2022,Blaze Jordan,1B,sa3014537,0,Bench,40,55.0,55.0,60.0,30.0,55.0,,30.0,25.0,-5.0,25.0,-2.0,-1.0,50.0,2,114.0,105.0,6.0,1.0,0.3262543859649122,0.4975614035087719,0.8238157894736842,0.3238095238095238,0.2666666666666666,0.3809523809523809,0.1842105263157894,0.0701754385964912,0,0,0,2,18.0,0,0.0,0.0,0.0,4,55.0,30.0,1.0,26.185714285714287,0.0738157894736841,2.0,1,117.1875,0,0,1,0
8615,2022,Tony Blanco Jr.,1B,sa3019722,0,Bench,40,40.0,60.0,70.0,30.0,40.0,,20.0,35.0,-10.0,20.0,2.0,1.0,45.0,3,,,,,,,,,,,,,0,0,0,1,16.0,0,0.0,0.0,0.0,2,60.0,30.0,0.6666666666666666,27.0,0.0,1.0,1,118.75,0,0,0,1
8520,2022,Dominic Keegan,1B,sa3020194,0,Bench,35,,,,,,,,,,,,,,2,,,,,,,,,,,,,0,0,0,1,20.0,0,,,,0,,,1.0,,0.0,1.0,0,,0,0,0,1
8525,2022,Luis Baez,1B,sa3018482,0,Bench,35,50.0,60.0,60.0,40.0,50.0,,30.0,35.0,0.0,20.0,1.0,,55.0,3,,,,,,,,,,,,,0,0,0,1,17.0,0,0.0,0.0,0.0,2,60.0,40.0,0.8333333333333334,30.0,0.0,1.0,1,50.0,0,0,0,1
8412,2022,Nathan Martorella,1B,sa3019978,0,Bench,35,,,,,,,,,,,,,,2,,,,,,,,,,,,,0,0,0,1,20.0,0,,,,0,,,1.0,,0.0,1.0,0,,0,0,0,1
8286,2022,Xavier Isaac,1B,sa3020498,0,Bench,35,,,,,,,,,,,,,,2,,,,,,,,,,,,,0,0,0,1,17.0,0,,,,0,,,1.0,,0.0,1.0,0,,0,0,0,1
8642,2023,Justin Foscue,1B,27501,2,Regular,50,70.0,40.0,45.0,30.0,30.0,,0.0,5.0,0.0,0.0,,-1.0,30.0,1,,,,,,,,,,,,,0,0,0,1,23.0,5,25.0,-10.0,0.0,1,70.0,30.0,1.75,21.0,0.0,0.25,1,268.75,0,0,0,1
