prospect_id,data_year,name,position,fangraphs_id,target,target_label,fangraphs_fv,hit_future,game_power_future,raw_power_future,speed_future,fielding_future,hard_hit_pct,hit_upside,power_upside,speed_upside,fielding_upside,frame_grade,athleticism_grade,arm_grade,levers_encoded,total_pa,total_ab,total_hr,total_sb,avg_obp,avg_slg,avg_ops,batting_avg,isolated_power,bb_k_ratio,k_rate,bb_rate,played_aaa,played_aa,played_a_plus,highest_level,avg_age,fv_change_1yr,hit_change,power_change,speed_change,plus_tool_count,offensive_ceiling,defensive_floor,hit_power_ratio,power_speed_number_v2,age_relative_ops,levels_per_year,has_elite_tool,tool_variance,is_power_slugger,is_contact_hitter,is_balanced_star,is_average_hitter
8390,2022,Termarr Johnson,2B,sa3020214,2,Regular,55,60.0,55.0,60.0,40.0,45.0,,35.0,30.0,-10.0,15.0,-1.0,2.0,50.0,1,,,,,,,,,,,,,0,0,0,1,17.0,0,0.0,0.0,0.0,3,60.0,40.0,1.0909090909090908,28.5,0.0,1.0,1,62.5,0,0,0,1
8835,2022,Cristian Hernandez,SS,sa3015696,2,Regular,50,40.0,55.0,60.0,55.0,50.0,,20.0,30.0,0.0,10.0,1.0,1.0,60.0,3,191.0,158.0,5.0,21.0,0.3922722513089005,0.3470314136125654,0.7393036649214659,0.2848101265822785,0.1392405063291139,0.7692307692307693,0.2041884816753926,0.1570680628272251,0,0,0,1,17.0,0,0.0,0.0,0.0,3,55.0,50.0,0.7272727272727273,36.23076923076923,-0.010696335078534,1.0,1,37.5,0,0,0,1
8355,2022,James Triantos,2B,sa3017295,2,Regular,50,70.0,55.0,50.0,50.0,45.0,,45.0,35.0,0.0,5.0,-1.0,,40.0,2,109.0,101.0,6.0,3.0,0.3057155963302752,0.3882752293577981,0.6939908256880734,0.3267326732673267,0.2673267326732673,0.3888888888888889,0.1651376146788991,0.0642201834862385,0,0,0,1,18.0,0,0.0,0.0,0.0,2,70.0,45.0,1.2727272727272727,33.1,0.0939908256880733,1.0,1,87.5,0,0,1,0
9189,2022,Jose Salas,2B,sa3014690,2,Regular,50,60.0,50.0,55.0,50.0,45.0,,35.0,30.0,-5.0,10.0,2.0,,50.0,2,230.0,200.0,2.0,14.0,0.4160130434782608,0.4319347826086956,0.8479478260869565,0.305,0.1,0.4313725490196078,0.2217391304347826,0.0956521739130434,0,0,0,2,18.0,0,0.0,0.0,0.0,2,60.0,45.0,1.2,31.4,0.0979478260869565,2.0,1,29.6875,0,0,0,1
8364,2022,Nick Yorke,2B,27504,2,Regular,50,60.0,50.0,45.0,45.0,40.0,,25.0,20.0,-5.0,10.0,-1.0,-1.0,30.0,2,442.0,378.0,14.0,13.0,0.3644615384615384,0.4115271493212669,0.7759886877828054,0.3253968253968254,0.1904761904761904,0.7536231884057971,0.1561085972850678,0.1176470588235294,0,0,1,3,19.0,0,0.0,0.0,0.0,1,60.0,40.0,1.2,33.89259259259259,0.0259886877828053,3.0,1,54.6875,0,0,0,1
8374,2022,Orelvis Martinez,3B,25967,2,Regular,50,45.0,60.0,60.0,40.0,45.0,,15.0,25.0,-5.0,15.0,1.0,1.0,55.0,2,451.0,395.0,28.0,4.0,0.3078514412416851,0.4565210643015521,0.7643725055432372,0.2607594936708861,0.2886075949367088,0.3805309734513274,0.2505543237250554,0.0953436807095343,0,0,1,3,19.0,0,0.0,0.0,0.0,2,60.0,40.0,0.75,32.8,0.0143725055432372,3.0,1,56.25,0,0,0,1
9257,2022,Aeverson Arteaga,SS,sa3014707,1,Part-Time,45,40.0,45.0,45.0,60.0,60.0,,20.0,20.0,0.0,15.0,1.0,2.0,60.0,2,229.0,200.0,9.0,8.0,0.4157336244541484,0.6141397379912663,1.0298733624454148,0.29,0.205,0.3285714285714285,0.3056768558951965,0.1004366812227074,0,0,0,2,18.0,0,0.0,0.0,0.0,2,45.0,60.0,0.8888888888888888,34.88823529411765,0.2798733624454148,2.0,1,79.6875,1,0,0,0
8336,2022,Cam Collier,3B,sa3020131,1,Part-Time,45,50.0,55.0,60.0,40.0,60.0,,30.0,35.0,0.0,15.0,-1.0,,70.0,2,,,,,,,,,,,,,0,0,0,1,16.0,0,0.0,0.0,0.0,3,55.0,40.0,0.9090909090909092,28.5,0.0,1.0,1,54.6875,0,0,0,1
8183,2022,Carson Williams,SS,30038,1,Part-Time,45,50.0,50.0,50.0,55.0,55.0,,20.0,20.0,5.0,0.0,1.0,1.0,70.0,3,47.0,39.0,0.0,2.0,0.5847446808510638,0.8182340425531914,1.4029787234042552,0.282051282051282,0.1538461538461538,0.4615384615384615,0.2765957446808511,0.1276595744680851,0,0,0,1,18.0,0,0.0,0.0,0.0,2,50.0,55.0,1.0,31.5,0.8029787234042552,1.0,0,6.25,0,0,0,1
8864,2022,Jorbit Vivas,2B,23917,1,Part-Time,45,60.0,40.0,40.0,45.0,50.0,,25.0,10.0,0.0,10.0,-1.0,1.0,40.0,1,477.0,413.0,14.0,8.0,0.369062893081761,0.4426331236897274,0.8116960167714884,0.3123486682808716,0.1840193704600484,0.7272727272727273,0.1153039832285115,0.0838574423480083,0,0,1,3,20.0,0,0.0,0.0,0.0,1,60.0,45.0,1.5,29.57272727272728,0.1116960167714885,3.0,1,54.6875,0,0,0,1
8401,2022,Josh Kasevich,SS,sa3020203,1,Part-Time,45,70.0,35.0,40.0,40.0,55.0,,35.0,5.0,0.0,20.0,-2.0,-1.0,45.0,2,,,,,,,,,,,,,0,0,0,1,20.0,0,0.0,0.0,0.0,2,70.0,40.0,2.0,22.5,0.0,1.0,1,187.5,0,0,0,1
8467,2022,Mikey Romero,3B,sa3020216,1,Part-Time,45,60.0,45.0,50.0,45.0,40.0,,35.0,25.0,-5.0,10.0,1.0,,50.0,2,,,,,,,,,,,,,0,0,0,1,17.0,0,0.0,0.0,0.0,1,60.0,40.0,1.3333333333333333,27.0,0.0,1.0,1,56.25,0,0,0,1
8825,2022,Noah Miller,SS,sa3017512,1,Part-Time,45,60.0,45.0,45.0,40.0,45.0,,35.0,25.0,0.0,15.0,,1.0,50.0,2,96.0,84.0,2.0,1.0,0.3361458333333333,0.3676666666666666,0.7038125,0.238095238095238,0.1309523809523809,0.3461538461538461,0.2708333333333333,0.09375,0,0,0,1,18.0,0,0.0,0.0,0.0,1,60.0,40.0,1.3333333333333333,26.03333333333333,0.1038124999999999,1.0,1,56.25,0,0,0,1
8925,2022,Robert Moore,SS,sa3019928,1,Part-Time,45,55.0,45.0,45.0,60.0,60.0,,20.0,15.0,0.0,15.0,-1.0,1.0,45.0,1,,,,,,,,,,,,,0,0,0,1,19.0,0,0.0,0.0,0.0,3,55.0,60.0,1.2222222222222223,31.5,0.0,1.0,1,37.5,0,0,0,1
8894,2022,Roderick Arias,SS,sa3019674,1,Part-Time,45,60.0,50.0,50.0,50.0,60.0,,35.0,30.0,-5.0,15.0,1.0,2.0,60.0,3,,,,,,,,,,,,,0,0,0,1,16.0,0,0.0,0.0,0.0,2,60.0,50.0,1.2,30.0,0.0,1.0,1,25.0,0,0,0,1
8893,2022,Tyler Callihan,2B,27497,1,Part-Time,45,55.0,50.0,55.0,30.0,35.0,,20.0,20.0,0.0,5.0,-1.0,-1.0,50.0,2,99.0,87.0,2.0,5.0,0.3817070707070707,0.383060606060606,0.7647676767676767,0.2988505747126437,0.1379310344827586,0.6153846153846154,0.1313131313131313,0.0808080808080808,0,0,0,2,21.0,0,0.0,0.0,0.0,2,55.0,30.0,1.1,25.142857142857142,0.0147676767676767,1.0,0,106.25,0,1,0,0
8193,2022,Angel Genao,SS,sa3015706,0,Bench,40,50.0,45.0,45.0,50.0,45.0,,30.0,25.0,0.0,10.0,1.0,1.0,45.0,2,192.0,151.0,1.0,16.0,0.4215833333333333,0.3968541666666666,0.8184375,0.2649006622516556,0.0993377483443708,1.3448275862068966,0.1510416666666666,0.203125,0,0,0,1,17.0,0,0.0,0.0,0.0,0,50.0,45.0,1.1111111111111112,29.25294117647059,0.0684375,1.0,0,6.25,0,0,0,1
9218,2022,Brett Auerbach,2B,sa3014941,0,Bench,40,55.0,35.0,40.0,55.0,45.0,,20.0,5.0,0.0,5.0,-1.0,1.0,45.0,1,,,,,,,,,,,,,0,0,0,1,,0,0.0,0.0,0.0,2,55.0,45.0,1.5714285714285714,27.0,0.0,0.5,0,68.75,0,0,0,1
8962,2022,César Prieto,2B,30163,0,Bench,40,60.0,40.0,40.0,50.0,45.0,,10.0,10.0,0.0,15.0,-1.0,,40.0,1,,,,,,,,,,,,,0,0,0,1,22.0,0,0.0,0.0,0.0,1,60.0,45.0,1.5,27.0,0.0,0.3333333333333333,1,54.6875,0,0,0,1
8493,2022,Cooper Kinney,2B,sa3017793,0,Bench,40,55.0,50.0,50.0,40.0,45.0,,30.0,30.0,0.0,15.0,1.0,,50.0,2,47.0,35.0,0.0,2.0,0.5053404255319148,0.4112553191489361,0.916595744680851,0.2857142857142857,0.0857142857142857,1.1111111111111112,0.1914893617021276,0.2127659574468085,0,0,0,1,18.0,0,0.0,0.0,0.0,1,55.0,40.0,1.1,27.0,0.316595744680851,1.0,0,31.25,0,0,0,1
8397,2022,Denzer Guzman,SS,28816,0,Bench,40,50.0,40.0,50.0,40.0,50.0,,30.0,20.0,-5.0,10.0,1.0,1.0,45.0,2,164.0,141.0,3.0,11.0,0.3164695121951219,0.3117317073170731,0.6282012195121951,0.2127659574468085,0.1489361702127659,0.8333333333333334,0.1463414634146341,0.1219512195121951,0,0,0,1,17.0,0,0.0,0.0,0.0,0,50.0,40.0,1.25,25.88571428571429,-0.1217987804878049,1.0,0,25.0,0,1,0,0
8660,2022,Eddinson Paulino,3B,sa3009538,0,Bench,40,45.0,45.0,50.0,50.0,45.0,,15.0,15.0,0.0,15.0,,,60.0,1,133.0,113.0,0.0,5.0,0.4738496240601503,0.5389548872180451,1.0128045112781956,0.336283185840708,0.2123893805309734,0.7142857142857143,0.1578947368421052,0.112781954887218,0,0,0,1,18.0,0,0.0,0.0,0.0,0,45.0,45.0,1.0,28.5,0.4128045112781956,1.0,0,4.6875,0,0,1,0
9270,2022,Eduardo Garcia,SS,sa3008751,0,Bench,40,35.0,45.0,55.0,40.0,60.0,,5.0,20.0,0.0,15.0,1.0,2.0,60.0,3,192.0,168.0,4.0,3.0,0.3865625,0.558890625,0.945453125,0.2678571428571428,0.2023809523809523,0.2909090909090909,0.2864583333333333,0.0833333333333333,0,0,0,2,18.0,0,0.0,0.0,0.0,2,45.0,40.0,0.7777777777777778,26.87142857142857,0.195453125,2.0,1,87.5,0,0,0,1
8315,2022,Edwin Arroyo,SS,sa3017626,0,Bench,40,40.0,50.0,50.0,50.0,50.0,,20.0,25.0,0.0,10.0,,,50.0,1,86.0,71.0,2.0,4.0,0.324406976744186,0.2331744186046511,0.5575813953488372,0.2112676056338028,0.1126760563380281,0.3846153846153846,0.3023255813953488,0.1162790697674418,0,0,0,1,17.0,0,0.0,0.0,0.0,0,50.0,50.0,0.8,31.066666666666663,-0.1924186046511627,1.0,0,18.75,0,0,0,1
8689,2022,Gage Workman,3B,27573,0,Bench,40,35.0,50.0,55.0,50.0,55.0,,5.0,20.0,0.0,10.0,2.0,1.0,55.0,3,513.0,452.0,12.0,31.0,0.2976666666666666,0.3988615984405458,0.6965282651072124,0.245575221238938,0.1880530973451327,0.3375796178343949,0.3060428849902534,0.1033138401559454,0,0,1,3,21.0,0,0.0,0.0,0.0,2,50.0,50.0,0.7,36.92093023255814,-0.0534717348927875,1.5,0,56.25,0,0,0,1
8455,2022,Hao-Yu Lee,2B,sa3017863,0,Bench,40,55.0,50.0,55.0,30.0,40.0,,30.0,25.0,-10.0,10.0,-1.0,,50.0,2,25.0,22.0,1.0,0.0,0.31328,0.44164,0.75492,0.3636363636363636,0.4090909090909091,0.6,0.2,0.12,0,0,0,1,18.0,0,0.0,0.0,0.0,2,55.0,30.0,1.1,24.0,0.15492,1.0,0,92.1875,0,0,0,1
9398,2022,Jose Fernandez,SS,sa3015204,0,Bench,40,35.0,40.0,50.0,60.0,60.0,,15.0,20.0,0.0,15.0,1.0,2.0,60.0,2,126.0,112.0,0.0,4.0,0.3149285714285714,0.3186666666666666,0.633595238095238,0.25,0.0535714285714285,0.282051282051282,0.3095238095238095,0.0873015873015873,0,0,0,1,17.0,0,0.0,0.0,0.0,2,40.0,60.0,0.875,30.0,-0.1164047619047619,1.0,1,129.6875,0,0,0,1
8435,2022,Juan Brito,2B,sa3009808,0,Bench,40,60.0,40.0,45.0,35.0,40.0,,25.0,10.0,0.0,10.0,,,40.0,1,109.0,88.0,3.0,5.0,0.4156238532110091,0.3919724770642201,0.8075963302752293,0.2954545454545454,0.1363636363636363,0.7142857142857143,0.1926605504587156,0.1376146788990825,0,0,0,1,19.0,0,0.0,0.0,0.0,1,60.0,35.0,1.5,24.0,0.1575963302752293,1.0,1,92.1875,0,0,0,1
9289,2022,Juan Corniel,SS,sa3015169,0,Bench,40,40.0,40.0,45.0,60.0,55.0,,20.0,20.0,0.0,10.0,1.0,1.0,55.0,2,,,,,,,,,,,,,0,0,0,1,,0,0.0,0.0,0.0,2,40.0,55.0,1.0,30.0,0.0,0.5,1,79.6875,0,0,0,1
9007,2022,Kevin Made,SS,sa3014679,0,Bench,40,40.0,45.0,50.0,55.0,55.0,,20.0,25.0,0.0,10.0,2.0,1.0,55.0,3,243.0,235.0,1.0,2.0,0.2658971193415637,0.2882716049382716,0.5541687242798353,0.2723404255319149,0.0936170212765957,0.1052631578947368,0.2345679012345679,0.0246913580246913,0,0,0,2,18.0,0,0.0,0.0,0.0,2,45.0,55.0,0.8888888888888888,30.53333333333333,-0.1958312757201645,2.0,0,42.1875,0,0,0,1
9371,2022,Leandro Arias,SS,sa3018433,0,Bench,40,60.0,40.0,45.0,60.0,60.0,,35.0,20.0,5.0,15.0,1.0,1.0,55.0,1,,,,,,,,,,,,,0,0,0,1,16.0,0,0.0,0.0,0.0,3,60.0,60.0,1.5,30.0,0.0,1.0,1,75.0,0,0,0,1
8911,2022,Maximo Acosta,SS,27963,0,Bench,40,55.0,40.0,50.0,45.0,50.0,,30.0,20.0,-5.0,10.0,,1.0,50.0,1,68.0,61.0,1.0,7.0,0.2952794117647058,0.2946764705882352,0.589955882352941,0.2459016393442623,0.1475409836065573,0.2,0.2205882352941176,0.0441176470588235,0,0,0,1,18.0,0,0.0,0.0,0.0,1,55.0,45.0,1.375,26.2,-0.0100441176470588,1.0,0,31.25,0,0,0,1
9442,2022,Max Wagner,3B,sa3020415,0,Bench,40,45.0,50.0,55.0,50.0,55.0,,15.0,15.0,0.0,20.0,,1.0,60.0,2,,,,,,,,,,,,,0,0,0,1,19.0,0,0.0,0.0,0.0,2,50.0,50.0,0.9,30.0,0.0,1.0,0,12.5,0,0,0,1
8295,2022,Sal Stewart,3B,31505,0,Bench,40,55.0,55.0,60.0,30.0,45.0,,30.0,30.0,-10.0,5.0,-2.0,-1.0,55.0,2,,,,,,,,,,,,,0,0,0,1,17.0,0,0.0,0.0,0.0,3,55.0,30.0,1.0,25.5,0.0,1.0,1,104.6875,0,0,0,1
9063,2022,Tanner Murray,2B,sa3016805,0,Bench,40,60.0,40.0,40.0,40.0,40.0,,25.0,10.0,-5.0,10.0,,,40.0,2,175.0,155.0,4.0,4.0,0.40628,0.5952571428571428,1.001537142857143,0.3290322580645161,0.2258064516129032,0.5,0.1485714285714285,0.0742857142857142,0,0,1,3,21.0,0,0.0,0.0,0.0,1,60.0,40.0,1.5,25.6,0.2515371428571429,1.5,1,75.0,0,0,1,0
8489,2022,Tanner Schobel,SS,sa3020009,0,Bench,40,50.0,40.0,45.0,60.0,60.0,,20.0,10.0,0.0,15.0,-1.0,2.0,60.0,1,,,,,,,,,,,,,0,0,0,1,20.0,0,0.0,0.0,0.0,2,50.0,60.0,1.25,30.0,0.0,1.0,1,68.75,0,0,0,1
9183,2022,Victor Acosta,SS,sa3015705,0,Bench,40,45.0,45.0,50.0,60.0,60.0,,25.0,25.0,0.0,15.0,-1.0,1.0,60.0,1,240.0,186.0,5.0,26.0,0.4315666666666666,0.507275,0.9388416666666666,0.2849462365591398,0.1989247311827957,0.8444444444444444,0.1875,0.1583333333333333,0,0,0,1,17.0,0,0.0,0.0,0.0,2,45.0,60.0,1.0,34.854838709677416,0.1888416666666666,1.0,1,56.25,0,0,0,1
8568,2022,William Bergolla,SS,sa3019777,0,Bench,40,60.0,40.0,40.0,60.0,60.0,,35.0,20.0,5.0,15.0,,2.0,55.0,1,,,,,,,,,,,,,0,0,0,1,16.0,0,0.0,0.0,0.0,3,60.0,60.0,1.5,30.0,0.0,1.0,1,75.0,0,0,0,1
8535,2022,Yordany De Los Santos,SS,sa3018408,0,Bench,40,45.0,50.0,55.0,45.0,45.0,,25.0,30.0,0.0,15.0,1.0,1.0,50.0,2,,,,,,,,,,,,,0,0,0,1,16.0,0,0.0,0.0,0.0,1,50.0,45.0,0.9,28.5,0.0,1.0,0,4.6875,0,0,0,1
8223,2022,Alex Freeland,SS,31665,0,Bench,35,,,,,,,,,,,,,,2,,,,,,,,,,,,,0,0,0,1,19.0,0,,,,0,,,1.0,,0.0,1.0,0,,0,0,0,1
8419,2022,Austin Charles,3B,sa3020497,0,Bench,35,,,,,,,,,,,2.0,,,3,,,,,,,,,,,,,0,0,0,1,17.0,0,,,,0,,,1.0,,0.0,1.0,0,,0,0,0,1
8511,2022,Cameron Cauley,SS,sa3017167,0,Bench,35,45.0,30.0,35.0,60.0,60.0,,20.0,10.0,0.0,15.0,-1.0,1.0,50.0,1,103.0,94.0,0.0,10.0,0.3058640776699029,0.341135922330097,0.647,0.2553191489361702,0.1276595744680851,0.2580645161290322,0.3009708737864077,0.0776699029126213,0,0,0,1,18.0,0,0.0,0.0,0.0,2,45.0,60.0,1.5,27.0,0.047,1.0,1,154.6875,0,0,0,1
9152,2022,Darren Baker,2B,29912,0,Bench,35,55.0,35.0,35.0,55.0,50.0,,20.0,5.0,0.0,10.0,,1.0,40.0,2,,,,,,,,,,,,,0,0,0,1,,0,0.0,0.0,0.0,2,55.0,50.0,1.5714285714285714,27.0,0.0,0.5,0,67.1875,0,0,0,1
9205,2022,David McCabe,3B,sa3019964,0,Bench,35,,,,,,,,,,,,,,2,,,,,,,,,,,,,0,0,0,1,21.0,0,,,,0,,,1.0,,0.0,0.5,0,,0,0,0,1
8232,2022,Jacob Reimer,3B,sa3020416,0,Bench,35,,,,,,,,,,,,,,2,,,,,,,,,,,,,0,0,0,1,17.0,0,,,,0,,,1.0,,0.0,1.0,0,,0,0,0,1
