prospect_id,data_year,name,position,fangraphs_id,target,target_label,fangraphs_fv,hit_future,game_power_future,raw_power_future,speed_future,fielding_future,hard_hit_pct,hit_upside,power_upside,speed_upside,fielding_upside,frame_grade,athleticism_grade,arm_grade,levers_encoded,total_pa,total_ab,total_hr,total_sb,avg_obp,avg_slg,avg_ops,batting_avg,isolated_power,bb_k_ratio,k_rate,bb_rate,played_aaa,played_aa,played_a_plus,highest_level,avg_age,fv_change_1yr,hit_change,power_change,speed_change,plus_tool_count,offensive_ceiling,defensive_floor,hit_power_ratio,power_speed_number_v2,age_relative_ops,levels_per_year,has_elite_tool,tool_variance,is_power_slugger,is_contact_hitter,is_balanced_star,is_average_hitter
9011,2022,George Valera,RF,22541,2,Regular,50,40.0,60.0,60.0,50.0,55.0,,10.0,15.0,0.0,5.0,-1.0,,60.0,2,363.0,285.0,19.0,11.0,0.3748484848484848,0.4316666666666666,0.8065151515151515,0.2596491228070175,0.2456140350877192,0.75,0.2424242424242424,0.1818181818181818,0,1,1,4,20.0,0,0.0,0.0,0.0,3,60.0,50.0,0.6666666666666666,38.57333333333334,0.0565151515151515,4.0,1,54.6875,0,0,0,1
9154,2022,Greg Jones,CF,25448,2,Regular,50,45.0,50.0,55.0,70.0,45.0,,15.0,20.0,0.0,5.0,1.0,2.0,55.0,2,,,,,,,,,,,,,0,0,0,1,,0,0.0,0.0,0.0,2,50.0,45.0,0.9,36.0,0.0,0.5,1,106.25,0,0,0,1
8213,2022,Kevin Alcántara,CF,25971,2,Regular,50,40.0,60.0,70.0,50.0,50.0,,10.0,40.0,-5.0,10.0,2.0,2.0,55.0,3,138.0,119.0,5.0,5.0,0.4310289855072463,0.5414782608695652,0.9725072463768116,0.3445378151260504,0.2436974789915966,0.4722222222222222,0.2608695652173913,0.1231884057971014,0,0,0,1,18.0,0,0.0,0.0,0.0,2,60.0,50.0,0.6666666666666666,35.0,0.3725072463768116,1.0,1,50.0,0,0,0,1
8719,2022,Miguel Bleis,CF,sa3016834,2,Regular,50,50.0,60.0,60.0,50.0,50.0,,30.0,35.0,0.0,20.0,1.0,1.0,55.0,3,136.0,119.0,4.0,7.0,0.3873088235294117,0.4865735294117647,0.8738823529411764,0.2521008403361344,0.1680672268907563,0.48,0.1838235294117647,0.088235294117647,0,0,0,1,17.0,0,0.0,0.0,0.0,2,60.0,50.0,0.8333333333333334,35.03636363636364,0.1238823529411764,1.0,1,18.75,0,0,0,1
8307,2022,Owen Caissie,RF,27496,2,Regular,50,40.0,60.0,65.0,30.0,50.0,,10.0,35.0,-10.0,20.0,2.0,,60.0,3,226.0,182.0,7.0,1.0,0.4591327433628318,0.4879911504424778,0.9471238938053096,0.3021978021978022,0.1868131868131868,0.6268656716417911,0.2964601769911504,0.1858407079646017,0,0,0,2,18.0,0,0.0,0.0,0.0,2,60.0,30.0,0.6666666666666666,27.7,0.1971238938053097,2.0,1,125.0,0,0,0,1
8559,2022,Zac Veen,RF,27770,2,Regular,50,45.0,60.0,70.0,55.0,55.0,,15.0,25.0,-5.0,25.0,2.0,1.0,55.0,3,479.0,399.0,15.0,36.0,0.3828016701461377,0.4024926931106471,0.7852943632567849,0.3007518796992481,0.200501253132832,0.5079365079365079,0.2630480167014614,0.1336116910229645,0,0,0,2,19.0,0,0.0,0.0,0.0,4,60.0,55.0,0.75,42.97058823529412,0.1352943632567849,2.0,1,29.6875,0,0,0,1
9283,2022,Benny Montgomery,CF,sa3017169,1,Part-Time,45,50.0,40.0,60.0,70.0,55.0,,30.0,20.0,0.0,15.0,1.0,1.0,60.0,3,52.0,47.0,0.0,5.0,0.3251153846153846,0.3478653846153846,0.6729807692307692,0.3404255319148936,0.0425531914893617,0.5555555555555556,0.173076923076923,0.0961538461538461,0,0,0,1,18.0,0,0.0,0.0,0.0,3,50.0,55.0,1.25,33.0,0.0729807692307692,1.0,1,117.1875,0,0,0,1
8694,2022,Cristhian Vaquero,CF,sa3018403,1,Part-Time,45,50.0,60.0,60.0,55.0,50.0,,30.0,35.0,-5.0,20.0,2.0,2.0,60.0,3,,,,,,,,,,,,,0,0,0,1,16.0,0,0.0,0.0,0.0,3,60.0,50.0,0.8333333333333334,34.5,0.0,1.0,1,17.1875,0,0,0,1
8332,2022,Drew Gilbert,CF,31545,1,Part-Time,45,60.0,40.0,45.0,60.0,60.0,,25.0,10.0,0.0,15.0,1.0,1.0,55.0,1,,,,,,,,,,,,,0,0,0,1,20.0,0,0.0,0.0,0.0,3,60.0,60.0,1.5,30.0,0.0,1.0,1,75.0,0,0,0,1
8338,2022,Dylan Beavers,CF,31695,1,Part-Time,45,40.0,60.0,70.0,55.0,50.0,,10.0,30.0,0.0,20.0,1.0,,60.0,3,,,,,,,,,,,,,0,0,0,1,19.0,0,0.0,0.0,0.0,3,60.0,50.0,0.6666666666666666,34.5,0.0,1.0,1,54.6875,0,0,0,1
8238,2022,Jett Williams,CF,sa3020134,1,Part-Time,45,60.0,45.0,45.0,70.0,55.0,,35.0,25.0,0.0,15.0,,2.0,45.0,1,,,,,,,,,,,,,0,0,0,1,17.0,0,0.0,0.0,0.0,3,60.0,55.0,1.3333333333333333,34.5,0.0,1.0,1,81.25,0,0,0,1
8810,2022,Jud Fabian,CF,sa3019942,1,Part-Time,45,35.0,55.0,60.0,60.0,60.0,,5.0,25.0,0.0,15.0,,1.0,60.0,2,,,,,,,,,,,,,0,0,0,1,20.0,0,0.0,0.0,0.0,4,55.0,60.0,0.6363636363636364,34.5,0.0,1.0,1,106.25,0,0,0,1
8287,2022,Justin Crawford,CF,sa3020240,1,Part-Time,45,55.0,45.0,55.0,70.0,55.0,,30.0,25.0,0.0,15.0,2.0,2.0,45.0,3,,,,,,,,,,,,,0,0,0,1,17.0,0,0.0,0.0,0.0,4,55.0,55.0,1.2222222222222223,34.5,0.0,1.0,1,79.6875,0,0,0,1
8853,2022,Petey Halpin,CF,27931,1,Part-Time,45,60.0,40.0,45.0,60.0,55.0,,25.0,10.0,0.0,10.0,,1.0,60.0,2,246.0,221.0,1.0,11.0,0.2780162601626016,0.3593658536585365,0.6373821138211382,0.2941176470588235,0.1312217194570135,0.42,0.2032520325203252,0.0853658536585365,0,0,0,2,19.0,0,0.0,0.0,0.0,3,60.0,55.0,1.5,30.73333333333333,-0.0126178861788618,2.0,1,67.1875,0,0,0,1
8268,2022,Spencer Jones,CF,sa3019969,1,Part-Time,45,40.0,70.0,80.0,40.0,50.0,,10.0,35.0,0.0,20.0,2.0,1.0,50.0,3,,,,,,,,,,,,,0,0,0,1,20.0,0,0.0,0.0,0.0,2,70.0,40.0,0.5714285714285714,33.0,0.0,1.0,1,150.0,0,0,0,1
9433,2022,Yiddi Cappe,LF,sa3015515,1,Part-Time,45,50.0,50.0,60.0,55.0,50.0,,25.0,30.0,0.0,10.0,2.0,1.0,60.0,3,216.0,189.0,2.0,9.0,0.3219305555555555,0.4516388888888888,0.7735694444444444,0.2698412698412698,0.1322751322751322,0.5428571428571428,0.162037037037037,0.0879629629629629,0,0,0,1,18.0,0,0.0,0.0,0.0,2,50.0,50.0,1.0,32.80909090909091,0.1735694444444444,1.0,1,4.6875,0,0,0,1
8634,2022,Abdias De La Cruz,RF,sa3019401,0,Bench,40,45.0,50.0,55.0,60.0,50.0,,25.0,30.0,0.0,10.0,,,45.0,3,,,,,,,,,,,,,0,0,0,1,16.0,0,0.0,0.0,0.0,2,50.0,50.0,0.9,33.0,0.0,1.0,1,29.6875,0,0,0,1
8852,2022,Carlos D. Rodriguez,CF,sa3005478,0,Bench,40,60.0,30.0,40.0,70.0,60.0,,15.0,10.0,0.0,5.0,-1.0,1.0,50.0,1,,,,,,,,,,,,,0,0,0,1,20.0,0,0.0,0.0,0.0,3,60.0,60.0,2.0,30.0,0.0,1.0,1,225.0,0,0,0,1
8331,2022,Christian Franklin,CF,sa3017510,0,Bench,40,40.0,45.0,50.0,50.0,50.0,,10.0,10.0,0.0,10.0,,,45.0,2,101.0,76.0,1.0,4.0,0.3958811881188118,0.193069306930693,0.5889504950495049,0.2368421052631578,0.0789473684210526,0.8,0.2475247524752475,0.198019801980198,0,0,0,2,21.0,0,0.0,0.0,0.0,0,45.0,50.0,0.8888888888888888,29.14,-0.161049504950495,1.0,0,17.1875,0,0,0,1
8216,2022,Emmanuel Rodriguez,CF,sa3014693,0,Bench,40,40.0,55.0,55.0,50.0,55.0,,20.0,30.0,0.0,25.0,,,50.0,2,153.0,126.0,10.0,9.0,0.3793398692810457,0.4867450980392156,0.8660849673202614,0.2142857142857142,0.3095238095238095,0.4107142857142857,0.3660130718954248,0.1503267973856209,0,0,0,1,18.0,0,0.0,0.0,0.0,3,55.0,50.0,0.7272727272727273,35.28947368421053,0.2660849673202614,1.0,0,37.5,1,0,0,0
8383,2022,Gabriel Gonzalez,RF,sa3015723,0,Bench,40,50.0,50.0,55.0,30.0,50.0,,25.0,30.0,-10.0,20.0,-1.0,,50.0,1,221.0,188.0,7.0,9.0,0.399366515837104,0.511366515837104,0.910733031674208,0.2872340425531915,0.2340425531914893,0.5833333333333334,0.1628959276018099,0.0950226244343891,0,0,0,1,17.0,0,0.0,0.0,0.0,1,50.0,30.0,1.0,27.15,0.1607330316742081,1.0,0,75.0,0,0,1,0
9031,2022,Hendry Mendez,LF,sa3015727,0,Bench,40,60.0,40.0,50.0,50.0,50.0,,35.0,20.0,0.0,10.0,-1.0,,,2,138.0,117.0,1.0,3.0,0.4313985507246376,0.6037173913043478,1.0351159420289855,0.3162393162393162,0.1538461538461538,1.4166666666666667,0.0869565217391304,0.1231884057971014,0,0,0,1,17.0,0,0.0,0.0,0.0,1,60.0,50.0,1.5,27.6,0.2851159420289855,1.0,1,50.0,0,0,0,1
