prospect_id,data_year,name,position,fangraphs_id,target,target_label,fangraphs_fv,fb_future,sl_future,cb_future,ch_future,cmd_future,fb_upside,cmd_upside,velocity_sits_low,velocity_sits_high,velocity_tops,velocity_avg,plus_pitch_count,frame_grade,athleticism_grade,arm_grade,delivery_grade,has_tj_surgery,total_ip,era,whip,k_per_9,bb_per_9,k_bb_ratio,total_k,total_bb,total_hr_allowed,played_aaa,played_aa,played_a_plus,highest_level,avg_age,fv_change_1yr,fb_change,cmd_change,velo_change
8182,2022,Andrew Painter,SP,sa3017880,3,All-Star,60,60.0,60.0,60.0,50.0,50.0,0.0,10.0,96.0,98.0,100.0,97.0000000000000000,3,2.0,1.0,,1.0,0,6.0,0.0,0.6666666666666666,,0.0,,,0.0,0.0,0,0,0,1,18,0,0.0,0.0,0.0
8357,2022,Cade Cavalli,SP,27473,2,Regular,55,70.0,60.0,60.0,60.0,45.0,0.0,5.0,94.0,98.0,102.0,96.0000000000000000,4,1.0,1.0,,-1.0,0,120.30000000000001,3.4413965087281793,1.2967581047381544,0.0,4.488778054862842,0.0,0.0,60.0,4.0,1,1,1,5,22,0,0.0,0.0,0.0
8547,2022,Mick Abel,SP,27756,2,Regular,55,65.0,,70.0,55.0,50.0,10.0,10.0,95.0,98.0,99.0,96.5000000000000000,3,2.0,1.0,,1.0,0,41.400000000000006,4.782608695652173,1.3043478260869563,,5.869565217391304,,,27.0,5.0,0,0,0,2,19,0,0.0,0.0,0.0
9128,2022,Owen White,SP,22273,2,Regular,50,55.0,60.0,50.0,55.0,60.0,5.0,10.0,92.0,95.0,96.0,93.5000000000000000,3,1.0,1.0,,1.0,0,33.7,3.204747774480712,1.1275964391691393,,3.204747774480712,,,12.0,2.0,0,0,0,2,21,0,0.0,0.0,0.0
8284,2022,Blade Tidwell,SP,31701,1,Part-Time,45,60.0,55.0,,50.0,50.0,5.0,20.0,92.0,96.0,98.0,94.0000000000000000,2,1.0,,,1.0,0,,,,,,,,,,0,0,0,1,20,0,0.0,0.0,0.0
9272,2022,Blake Walston,SP,26270,1,Part-Time,45,45.0,50.0,60.0,55.0,55.0,10.0,20.0,88.0,92.0,94.0,90.0000000000000000,2,1.0,1.0,,2.0,0,93.10000000000001,3.8668098818474754,1.2781954887218043,,3.190118152524167,,,33.0,16.0,0,0,1,3,20,0,0.0,0.0,0.0
8174,2022,Bubba Chandler,SP,29868,1,Part-Time,45,55.0,,55.0,50.0,55.0,20.0,30.0,88.0,91.0,92.0,89.5000000000000000,2,1.0,2.0,,2.0,0,,,,,,,,,,0,0,0,1,18,0,0.0,0.0,0.0
8973,2022,Caleb Kilian,RP,26213,1,Part-Time,45,55.0,45.0,50.0,50.0,70.0,0.0,10.0,92.0,96.0,98.0,94.0000000000000000,1,1.0,1.0,,1.0,0,98.7,2.4620060790273555,0.8915906788247213,0.364741641337386,1.1854103343465046,0.3076923076923077,4.0,13.0,4.0,0,1,1,4,24,0,0.0,0.0,0.0
8253,2022,Carson Whisenhunt,SP,31676,1,Part-Time,45,45.0,,50.0,70.0,60.0,5.0,25.0,89.0,92.0,94.0,90.5000000000000000,1,,1.0,,1.0,0,,,,,,,,,,0,0,0,1,20,0,0.0,0.0,0.0
8789,2022,Clayton Beeter,DH,27494,1,Part-Time,45,60.0,60.0,60.0,,40.0,0.0,10.0,94.0,97.0,98.0,95.5000000000000000,3,,-1.0,,2.0,1,,,,,,,,,,0,0,0,1,22,0,0.0,0.0,0.0
8506,2022,Connor Phillips,RP,27649,1,Part-Time,45,60.0,60.0,55.0,,40.0,10.0,10.0,93.0,95.0,98.0,94.0000000000000000,3,-1.0,,,,0,74.60000000000001,4.70509383378016,1.4745308310991956,,5.549597855227882,,,46.0,2.0,0,0,1,3,20,0,0.0,0.0,0.0
8362,2022,Dax Fulton,SP,sa3014535,1,Part-Time,45,40.0,,60.0,55.0,55.0,0.0,20.0,90.0,94.0,96.0,92.0000000000000000,2,1.0,,,,0,76.0,4.7368421052631575,1.4342105263157894,,4.5,,,38.0,6.0,0,0,1,3,19,0,0.0,0.0,0.0
8688,2022,Gabriel Hughes,SP,sa3020661,1,Part-Time,45,55.0,60.0,,50.0,50.0,5.0,20.0,91.0,94.0,96.0,92.5000000000000000,2,,1.0,,,0,,,,,,,,,,0,0,0,1,19,0,0.0,0.0,0.0
8314,2022,Gunnar Hoglund,SP,31318,1,Part-Time,45,50.0,60.0,,50.0,70.0,0.0,35.0,90.0,94.0,96.0,92.0000000000000000,1,-1.0,,,2.0,1,,,,,,,,,,0,0,0,1,21,0,0.0,0.0,0.0
8815,2022,Jake Eder,SP,27590,1,Part-Time,45,60.0,70.0,,45.0,40.0,5.0,5.0,92.0,95.0,97.0,93.5000000000000000,2,1.0,,,-1.0,1,69.7,1.8077474892395982,1.0043041606886656,,3.486370157819225,,,27.0,3.0,0,1,0,4,22,0,0.0,0.0,0.0
