name,mlb_player_id,organization,position,pitches_faced_2025,games_as_batter_2025,pitches_faced_2024,games_as_batter_2024,pitches_faced_2023,games_as_batter_2023,pitches_thrown_2025,games_as_pitcher_2025,pitches_thrown_2024,games_as_pitcher_2024,pitches_thrown_2023,games_as_pitcher_2023,plate_appearances_2025,pa_games_2025,plate_appearances_2024,pa_games_2024,plate_appearances_2023,pa_games_2023,total_pitches_faced,total_pitches_thrown,total_plate_appearances
Spencer Jones,682987,NYY,CF,2177,116,2271,122,2156,117,0,0,0,0,0,0,507,116,549,122,541,117,6604,0,1597
Nathan Martorella,687210,MIA,1B,2044,133,2003,127,2221,135,0,0,0,0,0,0,551,133,527,127,585,135,6268,0,1663
Wilfred Veras,691442,CHW,RF,1791,111,1957,128,1996,130,0,0,0,0,0,0,466,111,537,128,565,130,5744,0,1568
Cooper Kinney,695692,TBR,2B,1875,116,1369,87,1816,121,0,0,0,0,0,0,505,116,362,87,506,121,5060,0,1373
Tanner Schobel,802355,MIN,SS,0,0,2013,121,2252,126,0,0,0,0,0,0,339,76,523,121,557,126,4265,0,1419
Kala'i Rosario,693850,MIN,RF,2387,130,0,0,2069,113,0,0,0,0,0,0,581,130,0,0,533,118,4456,0,1114
Joe Mack,691788,MIA,C,1814,112,2073,125,0,0,0,0,0,0,0,0,471,112,539,125,504,120,3887,0,1514
Nelson Rada,703185,LAA,CF,2388,134,1911,120,0,0,0,0,0,0,0,0,591,134,504,120,0,0,4299,0,1095
T.J. Rumfield,681198,NYY,1B,2283,138,1992,122,0,0,0,0,0,0,0,0,591,138,515,122,0,0,4275,0,1106
Ryan Clifford,691775,NYM,RF,2405,139,2374,129,0,0,0,0,0,0,0,0,580,139,3,1,4,2,4779,0,587
Juan Brito,682877,CLE,2B,0,0,2504,144,2152,127,0,0,0,0,0,0,0,0,4,1,556,127,4656,0,560
Luis Lara,800325,MIL,CF,2336,136,1735,110,0,0,0,0,0,0,0,0,618,136,496,110,1,1,4071,0,1115
Termarr Johnson,702261,PIT,2B,1944,119,2188,124,0,0,0,0,0,0,0,0,504,119,546,124,0,0,4132,0,1050
Jett Williams,702518,NYM,CF,2252,130,18,1,2287,121,0,0,0,0,0,0,577,130,1,1,1,1,4557,0,579
Pedro Ramirez,699393,CHC,3B,2182,128,1869,115,0,0,0,0,0,0,0,0,566,128,517,115,0,0,4051,0,1083
Roderick Arias,703149,NYY,SS,1862,103,2205,124,0,0,0,0,0,0,0,0,467,103,555,124,0,0,4067,0,1022
Sebastian Walcott,806964,TEX,SS,2108,124,1930,121,0,0,0,0,0,0,0,0,553,124,495,116,0,0,4038,0,1048
Will Simpson,687310,TBR,1B,1934,118,2092,127,0,0,0,0,0,0,0,0,481,118,552,127,0,0,4026,0,1033
Charles McAdoo,807727,TOR,3B,1959,121,2035,124,0,0,0,0,0,0,0,0,494,121,521,124,0,0,3994,0,1015
Max Anderson,801194,DET,2B,1901,122,1989,126,0,0,0,0,0,0,0,0,554,122,554,126,0,0,3890,0,1108
Héctor  Rodríguez,699302,CIN,RF,2042,134,1804,123,0,0,0,0,0,0,0,0,577,134,542,124,0,0,3846,0,1119
