name,mlb_player_id,level,pbp_games,first_pbp,last_pbp,pbp_2021,pbp_2022,pbp_2023,pbp_2024,pbp_2025,pitch_games,first_pitch,last_pitch
Jacob Morrison,804756,,0,,,0,0,0,0,0,0,,
Kyson Witherspoon,804817,,0,,,0,0,0,0,0,0,,
Landon Beidelschies,804860,,0,,,0,0,0,0,0,0,,
Brooks Bryan,804871,,0,,,0,0,0,0,0,0,,
Brendan Summerhill,804911,,0,,,0,0,0,0,0,0,,
Austin Peterson,804926,,0,,,0,0,0,0,0,0,,
Cam Leiter,804942,,0,,,0,0,0,0,0,0,,
Riley Quick,804981,,0,,,0,0,0,0,0,0,,
Henry Godbout,804995,,0,,,0,0,0,0,0,0,,
Yunior Marte,805074,,0,,,0,0,0,0,0,0,,
AJ Blubaugh,805123,,0,,,0,0,0,0,0,0,,
Adrian Herrera,805155,,0,,,0,0,0,0,0,0,,
Davis Polo,805175,,0,,,0,0,0,0,0,0,,
Caden Bodine,805207,,0,,,0,0,0,0,0,0,,
Dominick Reid,805255,,0,,,0,0,0,0,0,0,,
Jack Choate,805257,,0,,,0,0,0,0,0,0,,
Ethan Hedges,805260,,0,,,0,0,0,0,0,0,,
Cade Obermueller,805261,,0,,,0,0,0,0,0,0,,
Jason Reitz,805279,,0,,,0,0,0,0,0,0,,
Brandyn Garcia,805299,,0,,,0,0,0,0,0,0,,
Tyler Schweitzer,805326,,0,,,0,0,0,0,0,0,,
Trent Harris,805345,,0,,,0,0,0,0,0,0,,
Yeri Perez,805615,,0,,,0,0,0,0,0,0,,
Brody McCullough,805664,,0,,,0,0,0,0,0,0,,
Juan Bello,805694,,0,,,0,0,0,0,0,0,,
Jogly Garcia,805702,,0,,,0,0,0,0,0,0,,
AJ Russell,805706,,0,,,0,0,0,0,0,0,,
Jake Miller,805725,,0,,,0,0,0,0,0,0,,
Cade Kuehler,805780,,0,,,0,0,0,0,0,0,,
Cody Bowker,805790,,0,,,0,0,0,0,0,0,,
Charlee Soto,805792,,0,,,0,0,0,0,0,0,,
Landen Maroudis,805793,,0,,,0,0,0,0,0,0,,
Zander Mueth,805800,,0,,,0,0,0,0,0,0,,
Josh Knoth,805807,,0,,,0,0,0,0,0,0,,
Travis Sykora,805809,,0,,,0,0,0,0,0,0,,
Bryce Eldridge,805811,,0,,,0,0,0,0,0,0,,
Paul Bonzagni,805823,,0,,,0,0,0,0,0,0,,
Logan Tabeling,805841,,0,,,0,0,0,0,0,0,,
Joel Hurtado,805871,,0,,,0,0,0,0,0,0,,
Connor Foley,805879,,0,,,0,0,0,0,0,0,,
Gage Wood,805906,,0,,,0,0,0,0,0,0,,
Boston Baro,805951,,0,,,0,0,0,0,0,0,,
Barrett Kent,806010,,0,,,0,0,0,0,0,0,,
Alex Clemmey,806046,,0,,,0,0,0,0,0,0,,
Dean Curley,806053,,0,,,0,0,0,0,0,0,,
Steven Echavarria,806064,,0,,,0,0,0,0,0,0,,
James Ellwanger,806067,,0,,,0,0,0,0,0,0,,
Izack Tiger,806094,,0,,,0,0,0,0,0,0,,
Brady Smith,806224,,0,,,0,0,0,0,0,0,,
Luke Stevenson,806233,,0,,,0,0,0,0,0,0,,
Thomas White,806258,,0,,,0,0,0,0,0,0,,
Blake Wolters,806265,,0,,,0,0,0,0,0,0,,
Dominic Perachi,806270,,0,,,0,0,0,0,0,0,,
Payton Martin,806293,,0,,,0,0,0,0,0,0,,
Kolton Curtis,806641,,0,,,0,0,0,0,0,0,,
Yereny Teus,806711,,0,,,0,0,0,0,0,0,,
Carlos Gutierrez,806872,,0,,,0,0,0,0,0,0,,
Joendry Vargas,806959,,0,,,0,0,0,0,0,0,,
Luis Morales,806960,,0,,,0,0,0,0,0,0,,
Derniche Valdez,806961,,0,,,0,0,0,0,0,0,,
Brando Mayea,806963,,0,,,0,0,0,0,0,0,,
Janero Miller,806977,,0,,,0,0,0,0,0,0,,
Luis Guanipa,806994,,0,,,0,0,0,0,0,0,,
Reiner Lopez,806996,,0,,,0,0,0,0,0,0,,
Jeter Martinez,807002,,0,,,0,0,0,0,0,0,,
Trey Gregory-Alford,807281,,0,,,0,0,0,0,0,0,,
Cam Caminiti,807284,,0,,,0,0,0,0,0,0,,
Caden Scarborough,807291,,0,,,0,0,0,0,0,0,,
Trevor Harrison,807314,,0,,,0,0,0,0,0,0,,
Adolfo Sanchez,807645,,0,,,0,0,0,0,0,0,,
Kade Anderson,807739,,0,,,0,0,0,0,0,0,,
Sean Sullivan,807743,,0,,,0,0,0,0,0,0,,
Kannon Kemp,807748,,0,,,0,0,0,0,0,0,,
Jose Vasquez,807833,,0,,,0,0,0,0,0,0,,
David Matoma,807968,,0,,,0,0,0,0,0,0,,
