ID,Name,Position,Organization,Level,Age,ETA Year,FG Player ID,MLB ID,BA Player ID,Created At
9068,Anders Tolhurst,DH,TOR,,26,2025,sa3019818,sa3019818,,2025-10-10 12:45:15.674393
8732,Benjamin Cowles,SS,CHC,,25,2025,sa3016976,sa3016976,,2025-10-10 12:45:04.117742
9218,Brett Auerbach,2B,SFG,,27,2025,sa3014941,sa3014941,,2025-10-10 12:45:22.192437
9330,Carlos Taveras,1B,WSN,,20,2025,sa3021209,sa3021209,,2025-10-10 12:45:29.390690
8620,Carson Ragsdale,SP,SFG,,27,2025,27508,27508,,2025-10-10 12:45:00.458787
8756,Chase Allsup,SP,BAL,,22,2025,sa3025950,sa3025950,,2025-10-10 12:45:04.117850
9174,Christian Foutch,DH,BOS,,21,2025,sa3031591,sa3031591,,2025-10-10 12:45:22.192313
9200,CJ Alexander,3B,ATH,,29,2025,20557,20557,,2025-10-10 12:45:22.192388
9320,Dalvin Rosario,DH,CIN,,25,2025,sa3005144,sa3005144,,2025-10-10 12:45:29.390631
9152,Darren Baker,2B,WSN,,26,2025,29912,29912,,2025-10-10 12:45:19.692398
8624,Dom Hamel,RP,NYM,,26,2025,30153,30153,,2025-10-10 12:45:00.458807
9154,Greg Jones,CF,CHW,,27,2025,25448,25448,,2025-10-10 12:45:19.692403
9129,Jadiel Sanchez,RF,LAA,,24,2025,sa3011629,sa3011629,,2025-10-10 12:45:19.692342
9234,Jeral Toledo,2B,PIT,,22,2025,sa3015590,sa3015590,,2025-10-10 12:45:24.324937
9185,Jorge Juan,DH,ATL,,26,2025,sa3005826,sa3005826,,2025-10-10 12:45:22.192345
9289,Juan Corniel,SS,ARI,,23,2025,sa3015169,sa3015169,,2025-10-10 12:45:26.873236
9402,Kyle Brnovich,SP,BAL,,27,2025,sa3014923,sa3014923,,2025-10-10 12:45:31.330301
9188,Listher Sosa,DH,ARI,,24,2025,sa3009725,sa3009725,,2025-10-10 12:45:22.192354
8847,Michael Darrell-Hicks,DH,LAA,,27,2025,31501,31501,,2025-10-10 12:45:08.038801
8826,Royber Salinas,RP,ATL,,24,2025,sa3009243,sa3009243,,2025-10-10 12:45:08.038755
9104,Ryan Cusick,DH,ATH,,25,2025,sa3017385,sa3017385,,2025-10-10 12:45:17.456129
9438,Ty Weatherly,RP,BAL,,25,2025,sa3023130,sa3023130,,2025-10-10 12:45:32.239825
9173,Wilmer Flores,RP,DET,,24,2025,sa3015223,sa3015223,,2025-10-10 12:45:22.192310
