feature,importance
avg_ops,0.8870994415681874
total_games,0.02828182664087555
hit_tool_composite,0.020986220733653867
avg_batting_avg,0.016974993465109247
total_home_runs,0.013232032015339495
total_stolen_bases,0.01043773389686027
power_composite,0.00905204993688827
reached_aaa,0.007456502493620903
seasons_played,0.006472488175731916
reached_aa,6.711073733050307e-06
fv,0.0
field_future,0.0
speed_future,0.0
raw_power_future,0.0
game_power_future,0.0
hit_future,0.0
fb_grade,0.0
frame,0.0
cmd_grade,0.0
org_rank,0.0
top_100_score,0.0
has_upside,0.0
arm_strength,0.0
athleticism,0.0
physical_score,0.0
plus_tools,0.0
upside_adjusted_fv,0.0
