feature,importance
avg_ops,0.8547748469366049
total_games,0.03676750576325878
total_stolen_bases,0.022732373032591388
hit_tool_composite,0.020930396347739768
avg_batting_avg,0.01976012305250108
total_home_runs,0.015374275671851241
power_composite,0.014355301635857274
seasons_played,0.008147683924357853
reached_aaa,0.006894186714634965
reached_aa,0.0002633069206028786
fv,0.0
field_future,0.0
speed_future,0.0
raw_power_future,0.0
game_power_future,0.0
hit_future,0.0
fb_grade,0.0
frame,0.0
cmd_grade,0.0
org_rank,0.0
top_100_score,0.0
has_upside,0.0
arm_strength,0.0
athleticism,0.0
physical_score,0.0
plus_tools,0.0
upside_adjusted_fv,0.0
