feature,importance
avg_ops,0.487114
reached_aaa,0.1021653
total_stolen_bases,0.09412318
total_home_runs,0.08085544
total_games,0.07497776
seasons_played,0.06842815
avg_batting_avg,0.05868274
reached_aa,0.033653364
game_power_future,0.0
fv,0.0
hit_future,0.0
field_future,0.0
speed_future,0.0
raw_power_future,0.0
fb_grade,0.0
arm_strength,0.0
cmd_grade,0.0
frame,0.0
athleticism,0.0
org_rank,0.0
top_100_score,0.0
has_upside,0.0
hit_tool_composite,0.0
plus_tools,0.0
physical_score,0.0
power_composite,0.0
upside_adjusted_fv,0.0
